City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,6.99,6.99,7.67,overcast clouds,93,2.22,2025-01-16 09:00:02
Catania,11.1,9.29,11.93,broken clouds,93,4.02,2025-01-16 09:00:02
Cagliari,5.17,4.88,6.04,scattered clouds,81,1.54,2025-01-16 09:00:02
Sassari,3.88,3.88,7.15,light rain,87,2.54,2025-01-16 09:00:02
Bari,5.51,4.19,6.04,few clouds,81,1.54,2025-01-16 09:00:02
Lecce,4.94,4.94,7.14,few clouds,93,2.06,2025-01-16 09:00:02
Naples,8.14,7.0,8.34,broken clouds,68,2.06,2025-01-16 09:00:02
Rome,-5.92,-8.51,-5.92,overcast clouds,79,2.06,2025-01-16 09:00:02
Milan,0.89,-1.18,2.23,clear sky,78,1.03,2025-01-16 09:00:02
Bologna,3.35,2.85,3.36,scattered clouds,74,3.09,2025-01-16 09:00:02
Florence,7.56,6.16,7.82,scattered clouds,63,9.77,2025-01-16 09:00:02
Genova,1.72,1.16,4.31,overcast clouds,63,3.58,2025-01-16 09:00:02
Turin,-3.06,-3.55,-0.08,overcast clouds,73,1.31,2025-01-16 09:00:02
Palermo,7.54,7.54,8.78,overcast clouds,91,2.22,2025-01-16 09:15:02
Catania,11.88,10.48,11.93,broken clouds,87,6.69,2025-01-16 09:15:02
Cagliari,7.73,6.6,7.73,overcast clouds,57,1.34,2025-01-16 09:15:02
Sassari,4.88,4.88,7.71,overcast clouds,87,2.54,2025-01-16 09:15:02
Bari,5.98,5.66,7.19,few clouds,78,1.34,2025-01-16 09:15:02
Lecce,7.7,7.7,7.7,clear sky,83,2.11,2025-01-16 09:15:02
Naples,8.15,7.0,8.34,broken clouds,66,1.54,2025-01-16 09:15:02
Rome,-5.92,-9.06,-5.92,overcast clouds,79,3.6,2025-01-16 09:15:02
Milan,1.44,-0.87,2.23,few clouds,76,0.45,2025-01-16 09:15:02
Bologna,3.35,2.85,3.36,broken clouds,74,5.14,2025-01-16 09:15:02
Florence,7.57,6.72,7.82,few clouds,63,8.75,2025-01-16 09:15:02
Genova,2.3,1.95,4.8,overcast clouds,66,4.16,2025-01-16 09:15:02
Turin,-2.68,-3.55,0.95,overcast clouds,72,1.31,2025-01-16 09:15:02
Palermo,7.54,7.54,8.78,overcast clouds,90,2.89,2025-01-16 09:30:02
Catania,12.07,11.0,12.4,broken clouds,88,6.69,2025-01-16 09:30:02
Cagliari,6.11,3.88,8.28,scattered clouds,76,2.57,2025-01-16 09:30:02
Sassari,4.88,4.88,7.15,overcast clouds,87,2.54,2025-01-16 09:30:02
Bari,6.66,6.21,7.25,few clouds,77,1.03,2025-01-16 09:30:02
Lecce,7.94,7.94,8.81,few clouds,87,2.57,2025-01-16 09:30:02
Naples,8.4,8.34,8.9,broken clouds,65,1.54,2025-01-16 09:30:02
Rome,-5.92,-10.18,-5.92,overcast clouds,79,3.6,2025-01-16 09:30:02
Milan,1.65,-0.75,2.23,few clouds,74,0.89,2025-01-16 09:30:02
Bologna,3.35,2.85,3.47,broken clouds,75,5.14,2025-01-16 09:30:02
Florence,7.61,6.56,8.18,few clouds,63,8.75,2025-01-16 09:30:02
Genova,2.59,2.43,4.24,overcast clouds,61,4.16,2025-01-16 09:30:02
Turin,-2.51,-3.65,0.95,clear sky,69,1.54,2025-01-16 09:30:02
Palermo,8.1,8.1,9.89,overcast clouds,90,2.89,2025-01-16 09:45:02
Catania,11.85,11.0,11.93,broken clouds,89,4.02,2025-01-16 09:45:02
Cagliari,5.59,4.88,7.71,few clouds,83,2.06,2025-01-16 09:45:02
Sassari,6.88,6.88,7.15,overcast clouds,89,5.18,2025-01-16 09:45:02
Bari,7.38,7.15,8.19,few clouds,75,1.03,2025-01-16 09:45:02
Lecce,7.94,7.94,9.36,few clouds,87,2.57,2025-01-16 09:45:02
Naples,9.2,8.9,9.77,broken clouds,64,2.57,2025-01-16 09:45:02
Rome,-5.92,-10.73,-5.92,overcast clouds,79,3.6,2025-01-16 09:45:02
Milan,1.51,-0.31,2.79,clear sky,74,2.06,2025-01-16 09:45:02
Bologna,3.35,2.85,3.47,broken clouds,75,3.6,2025-01-16 09:45:02
Florence,8.21,6.97,8.82,few clouds,62,8.23,2025-01-16 09:45:02
Genova,2.68,2.43,4.86,overcast clouds,61,4.11,2025-01-16 09:45:02
Turin,-1.1,-2.55,0.95,overcast clouds,30,0.67,2025-01-16 09:45:02
Palermo,8.1,8.1,8.1,overcast clouds,90,2.89,2025-01-16 10:00:02
Catania,12.51,11.0,12.88,light rain,85,6.17,2025-01-16 10:00:02
Cagliari,5.59,4.88,7.71,few clouds,83,2.06,2025-01-16 10:00:02
Sassari,6.88,6.88,7.71,overcast clouds,89,5.18,2025-01-16 10:00:02
Bari,8.02,7.71,8.52,few clouds,74,1.03,2025-01-16 10:00:02
Lecce,7.94,7.94,9.92,few clouds,87,2.57,2025-01-16 10:00:02
Naples,9.2,8.9,9.77,broken clouds,64,2.57,2025-01-16 10:00:02
Rome,-11.29,-11.29,-11.29,broken clouds,98,1.64,2025-01-16 10:00:02
Milan,1.89,-0.19,2.79,clear sky,74,2.06,2025-01-16 10:00:02
Bologna,3.3,2.85,4.8,broken clouds,76,3.6,2025-01-16 10:00:02
Florence,8.21,6.97,9.08,few clouds,62,8.23,2025-01-16 10:00:02
Genova,2.3,1.31,4.86,overcast clouds,61,4.11,2025-01-16 10:00:02
Turin,-1.15,-2.55,1.59,overcast clouds,69,0.67,2025-01-16 10:00:02
Palermo,8.65,8.65,10.45,overcast clouds,89,2.89,2025-01-16 10:15:02
Catania,12.32,11.04,12.88,light rain,84,8.23,2025-01-16 10:15:02
Cagliari,9.39,8.82,9.39,overcast clouds,58,0.89,2025-01-16 10:15:02
Sassari,7.88,7.71,7.88,overcast clouds,89,5.18,2025-01-16 10:15:02
Bari,8.2,7.88,8.52,clear sky,73,1.54,2025-01-16 10:15:02
Lecce,10.48,10.48,10.48,clear sky,77,3.19,2025-01-16 10:15:02
Naples,9.2,8.66,9.34,broken clouds,64,2.57,2025-01-16 10:15:02
Rome,-6.92,-10.73,-6.92,overcast clouds,86,2.57,2025-01-16 10:15:02
Milan,3.14,0.8,3.97,scattered clouds,71,1.36,2025-01-16 10:15:02
Bologna,3.44,2.85,4.25,broken clouds,77,3.09,2025-01-16 10:15:02
Florence,8.35,6.97,9.26,few clouds,62,10.29,2025-01-16 10:15:02
Genova,1.85,1.16,4.86,overcast clouds,63,1.34,2025-01-16 10:15:02
Turin,-0.84,-2.41,1.59,overcast clouds,64,0.67,2025-01-16 10:15:02
Palermo,8.65,8.65,9.34,overcast clouds,89,2.89,2025-01-16 10:30:03
Catania,12.14,11.59,12.88,light rain,86,8.23,2025-01-16 10:30:03
Cagliari,10.1,7.05,10.49,scattered clouds,62,2.24,2025-01-16 10:30:03
Sassari,7.88,7.71,7.88,overcast clouds,90,4.12,2025-01-16 10:30:03
Bari,8.7,8.19,9.08,clear sky,70,1.54,2025-01-16 10:30:03
Lecce,9.94,9.94,11.59,few clouds,76,2.57,2025-01-16 10:30:03
Naples,9.2,8.9,9.34,broken clouds,63,2.57,2025-01-16 10:30:03
Rome,-6.92,-10.18,-6.92,overcast clouds,86,2.57,2025-01-16 10:30:03
