City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,10.32,9.89,10.32,overcast clouds,88,3.53,2025-01-19 15:47:16
Catania,14.59,12.63,15.88,scattered clouds,81,2.24,2025-01-19 15:47:16
Cagliari,14.46,13.05,14.95,scattered clouds,65,2.24,2025-01-19 15:47:16
Sassari,11.88,11.88,11.88,broken clouds,77,3.05,2025-01-19 15:47:16
Bari,11.98,11.6,12.92,broken clouds,90,2.06,2025-01-19 15:47:16
Lecce,14.94,14.94,15.48,scattered clouds,88,4.12,2025-01-19 15:47:16
Naples,13.55,13.34,14.9,broken clouds,75,2.68,2025-01-19 15:47:16
Rome,11.52,10.69,12.06,moderate rain,76,3.09,2025-01-19 15:47:16
Milan,8.01,6.87,8.34,broken clouds,76,2.57,2025-01-19 15:47:16
Bologna,7.29,7.15,7.85,overcast clouds,79,2.57,2025-01-19 15:47:16
Florence,11.12,10.41,11.41,broken clouds,67,3.13,2025-01-19 15:47:16
Genova,6.11,5.6,7.76,overcast clouds,69,3.13,2025-01-19 15:47:16
Turin,2.15,1.58,3.73,light rain,91,2.57,2025-01-19 15:47:16
