City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,5.87,5.87,5.87,few clouds,89,1.49,2025-01-30 06:05:50
Catania,9.36,7.15,10.26,clear sky,80,5.66,2025-01-30 06:05:50
Cagliari,6.87,5.88,8.28,clear sky,82,1.54,2025-01-30 06:05:50
Sassari,7.88,7.88,9.93,overcast clouds,89,3.03,2025-01-30 06:05:50
Bari,9.11,8.52,10.14,moderate rain,88,4.12,2025-01-30 06:05:50
Lecce,10.44,10.44,10.44,overcast clouds,97,6.41,2025-01-30 06:05:50
Naples,6.8,6.8,6.8,scattered clouds,89,2.19,2025-01-30 06:05:50
Rome,5.05,4.4,6.96,clear sky,93,1.51,2025-01-30 06:05:50
Milan,6.31,4.81,7.3,broken clouds,91,0.51,2025-01-30 06:05:50
Bologna,5.35,4.37,5.58,broken clouds,86,0.45,2025-01-30 06:05:50
Florence,7.47,6.78,8.23,overcast clouds,87,0.93,2025-01-30 06:05:50
Genova,5.77,3.75,7.81,overcast clouds,77,1.34,2025-01-30 06:05:50
Turin,2.27,1.28,3.45,light rain,93,1.15,2025-01-30 06:05:50
Palermo,9.76,8.22,9.76,clear sky,84,1.7,2025-01-30 08:50:08
Catania,11.08,10.0,12.15,clear sky,75,8.23,2025-01-30 08:50:08
Cagliari,9.78,8.88,11.6,few clouds,81,3.09,2025-01-30 08:50:08
Sassari,7.88,7.88,10.49,overcast clouds,82,2.88,2025-01-30 08:50:08
Bari,9.66,9.08,10.19,broken clouds,88,4.12,2025-01-30 08:50:08
Lecce,9.94,9.94,11.03,scattered clouds,93,0.51,2025-01-30 08:50:08
Naples,7.25,5.34,11.53,clear sky,84,2.06,2025-01-30 08:50:08
Rome,5.52,4.06,8.08,clear sky,91,1.54,2025-01-30 08:50:08
Milan,6.71,5.2,7.79,broken clouds,87,0.51,2025-01-30 08:50:08
Bologna,6.13,5.49,6.14,overcast clouds,85,1.01,2025-01-30 08:50:08
Florence,7.14,6.97,8.79,overcast clouds,94,0.83,2025-01-30 08:50:08
Genova,6.37,4.6,7.81,overcast clouds,75,1.34,2025-01-30 08:50:08
Turin,1.74,1.18,3.38,overcast clouds,93,0.93,2025-01-30 08:50:08
Palermo,9.76,8.22,9.76,clear sky,84,1.7,2025-01-30 09:00:02
Catania,11.09,10.0,12.7,clear sky,75,8.23,2025-01-30 09:00:02
Cagliari,9.78,8.88,11.6,few clouds,81,3.09,2025-01-30 09:00:02
Sassari,7.88,7.88,10.49,overcast clouds,82,2.88,2025-01-30 09:00:02
Bari,9.66,9.08,10.7,broken clouds,88,4.12,2025-01-30 09:00:02
Lecce,9.94,9.94,11.59,scattered clouds,93,0.51,2025-01-30 09:00:02
Naples,7.39,5.34,11.53,clear sky,84,2.06,2025-01-30 09:00:02
Rome,5.82,4.06,9.29,clear sky,91,1.54,2025-01-30 09:00:02
Milan,6.72,5.2,7.79,broken clouds,87,0.51,2025-01-30 09:00:02
Bologna,6.13,5.49,6.14,overcast clouds,85,1.01,2025-01-30 09:00:02
Florence,7.14,6.97,8.79,overcast clouds,94,0.83,2025-01-30 09:00:02
Genova,6.37,4.6,7.81,overcast clouds,75,0.89,2025-01-30 09:00:02
Turin,1.71,1.18,3.38,overcast clouds,93,0.93,2025-01-30 09:00:02
Palermo,10.87,9.89,10.87,clear sky,79,1.7,2025-01-30 09:15:06
Catania,11.5,10.96,13.81,clear sky,73,4.47,2025-01-30 09:15:06
Cagliari,10.95,10.88,12.15,few clouds,74,2.57,2025-01-30 09:15:06
Sassari,7.88,7.88,10.49,overcast clouds,82,2.88,2025-01-30 09:15:06
Bari,9.68,9.08,10.7,broken clouds,88,3.6,2025-01-30 09:15:06
Lecce,12.14,12.14,12.14,overcast clouds,91,3.89,2025-01-30 09:15:06
Naples,9.31,8.95,11.53,clear sky,77,0.89,2025-01-30 09:15:06
Rome,6.11,5.52,9.5,clear sky,89,2.57,2025-01-30 09:15:06
Milan,6.92,5.2,7.79,broken clouds,86,1.54,2025-01-30 09:15:06
Bologna,6.66,6.04,8.14,overcast clouds,83,1.01,2025-01-30 09:15:06
Florence,6.64,6.41,8.79,overcast clouds,94,0.83,2025-01-30 09:15:06
Genova,6.37,4.6,7.81,overcast clouds,75,0.89,2025-01-30 09:15:06
Turin,1.71,1.18,3.38,overcast clouds,93,0.93,2025-01-30 09:15:06
Palermo,8.67,8.67,8.67,clear sky,78,1.7,2025-01-30 09:30:03
Catania,11.98,10.86,14.37,clear sky,72,4.12,2025-01-30 09:30:03
Cagliari,11.18,10.88,12.15,few clouds,74,2.57,2025-01-30 09:30:03
Sassari,7.88,7.88,11.04,overcast clouds,82,2.88,2025-01-30 09:30:03
Bari,10.29,10.1,10.7,light rain,89,3.6,2025-01-30 09:30:03
Lecce,10.94,10.94,13.25,scattered clouds,93,1.03,2025-01-30 09:30:03
Naples,8.41,6.34,11.53,clear sky,84,2.57,2025-01-30 09:30:03
Rome,5.43,4.69,8.94,clear sky,93,2.57,2025-01-30 09:30:03
Milan,6.94,5.76,7.79,broken clouds,85,1.54,2025-01-30 09:30:03
Bologna,7.0,5.14,8.14,overcast clouds,82,1.01,2025-01-30 09:30:03
Florence,7.75,7.52,9.9,overcast clouds,94,0.83,2025-01-30 09:30:03
Genova,6.73,4.8,8.36,overcast clouds,74,0.45,2025-01-30 09:30:03
Turin,1.97,1.51,3.38,mist,93,1.03,2025-01-30 09:30:03
Palermo,11.43,11.43,11.56,clear sky,74,1.87,2025-01-30 09:45:02
Catania,12.45,11.52,14.93,clear sky,70,5.81,2025-01-30 09:45:02
Cagliari,10.83,9.88,12.71,few clouds,76,1.03,2025-01-30 09:45:02
Sassari,9.88,9.88,11.04,overcast clouds,73,3.15,2025-01-30 09:45:02
Bari,10.16,9.63,11.14,light rain,88,4.12,2025-01-30 09:45:02
Lecce,10.94,10.94,13.25,scattered clouds,93,1.03,2025-01-30 09:45:02
Naples,9.48,7.34,12.55,clear sky,82,1.54,2025-01-30 09:45:02
Rome,7.99,6.06,11.34,clear sky,87,2.57,2025-01-30 09:45:02
Milan,7.13,6.2,7.86,broken clouds,84,0.51,2025-01-30 09:45:02
Bologna,8.19,5.85,8.36,clear sky,79,2.57,2025-01-30 09:45:02
Florence,8.25,8.08,9.9,overcast clouds,94,0.44,2025-01-30 09:45:02
Genova,6.73,4.8,8.36,overcast clouds,74,0.45,2025-01-30 09:45:02
Turin,1.99,1.51,3.38,light rain,93,1.03,2025-01-30 09:45:02
Palermo,11.43,11.43,12.11,clear sky,75,1.87,2025-01-30 10:00:02
Catania,12.85,12.0,14.93,clear sky,70,6.26,2025-01-30 10:00:02
Cagliari,10.83,9.88,13.26,few clouds,76,1.34,2025-01-30 10:00:02
Sassari,9.88,9.88,11.6,overcast clouds,73,3.15,2025-01-30 10:00:02
Bari,10.34,9.63,11.7,light rain,87,4.47,2025-01-30 10:00:02
Lecce,10.94,10.94,13.25,scattered clouds,93,1.03,2025-01-30 10:00:02
Naples,9.8,7.34,12.55,clear sky,81,1.54,2025-01-30 10:00:02
Rome,9.36,7.91,11.9,broken clouds,64,1.42,2025-01-30 10:00:02
Milan,7.14,6.32,7.86,broken clouds,84,0.51,2025-01-30 10:00:02
Bologna,8.21,5.85,8.36,clear sky,79,2.57,2025-01-30 10:00:02
Florence,7.87,7.52,10.61,overcast clouds,94,0.44,2025-01-30 10:00:02
Genova,7.05,5.16,8.36,overcast clouds,73,0.45,2025-01-30 10:00:02
Turin,2.01,1.28,3.38,light rain,94,1.03,2025-01-30 10:00:02
