City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,11.43,11.43,11.43,overcast clouds,80,1.07,2025-02-25 09:00:06
Catania,12.37,10.86,14.93,clear sky,80,1.54,2025-02-25 09:00:06
Cagliari,11.2,8.05,13.28,fog,84,1.03,2025-02-25 09:00:06
Sassari,13.88,13.27,13.88,overcast clouds,89,3.86,2025-02-25 09:00:06
Bari,11.06,10.19,12.81,clear sky,87,1.03,2025-02-25 09:00:06
Lecce,10.94,10.94,12.14,scattered clouds,100,1.54,2025-02-25 09:00:06
Naples,12.48,9.9,13.19,mist,89,2.06,2025-02-25 09:00:06
Rome,10.84,10.25,11.8,scattered clouds,94,1.92,2025-02-25 09:00:06
Milan,10.02,8.97,10.49,mist,89,2.06,2025-02-25 09:00:06
Bologna,8.96,8.85,10.14,fog,96,2.06,2025-02-25 09:00:06
Florence,11.79,10.94,12.34,broken clouds,93,2.06,2025-02-25 09:00:06
Genova,8.96,7.09,10.05,overcast clouds,95,0.89,2025-02-25 09:00:06
Turin,4.3,3.74,6.04,light rain,89,0.76,2025-02-25 09:00:06
Palermo,11.99,11.99,11.99,overcast clouds,78,1.07,2025-02-25 09:15:10
Catania,14.64,13.88,15.26,clear sky,70,1.54,2025-02-25 09:15:10
Cagliari,12.11,10.88,13.84,few clouds,81,2.06,2025-02-25 09:15:10
Sassari,13.88,13.27,13.88,overcast clouds,89,3.86,2025-02-25 09:15:10
Bari,11.92,11.6,12.81,clear sky,85,1.03,2025-02-25 09:15:10
Lecce,10.94,10.94,12.7,scattered clouds,100,1.54,2025-02-25 09:15:10
Naples,12.47,12.34,13.75,mist,89,1.54,2025-02-25 09:15:10
Rome,10.78,10.25,11.8,overcast clouds,92,1.92,2025-02-25 09:15:10
Milan,10.02,8.97,10.54,mist,90,2.06,2025-02-25 09:15:10
Bologna,8.96,8.85,10.7,fog,96,1.54,2025-02-25 09:15:10
Florence,12.49,10.94,13.08,light intensity drizzle,91,1.79,2025-02-25 09:15:10
Genova,9.05,8.02,10.05,overcast clouds,94,1.34,2025-02-25 09:15:10
Turin,4.23,3.74,5.6,light rain,88,0.76,2025-02-25 09:15:10
Palermo,12.54,12.54,12.54,overcast clouds,75,1.07,2025-02-25 09:30:03
Catania,13.65,12.07,15.48,clear sky,77,1.54,2025-02-25 09:30:03
Cagliari,12.71,10.05,14.39,few clouds,81,2.06,2025-02-25 09:30:03
Sassari,13.88,13.27,13.88,overcast clouds,89,3.86,2025-02-25 09:30:03
Bari,12.44,12.15,12.88,clear sky,84,1.03,2025-02-25 09:30:03
Lecce,13.94,13.25,13.94,few clouds,82,2.57,2025-02-25 09:30:03
Naples,12.81,10.9,13.75,mist,89,1.54,2025-02-25 09:30:03
Rome,10.76,10.25,12.36,mist,94,1.03,2025-02-25 09:30:03
Milan,10.27,8.97,10.64,mist,90,2.06,2025-02-25 09:30:03
Bologna,8.96,8.85,10.7,fog,96,1.54,2025-02-25 09:30:03
Florence,12.63,11.5,13.08,light intensity drizzle,91,1.54,2025-02-25 09:30:03
Genova,9.17,8.58,10.05,overcast clouds,93,0.89,2025-02-25 09:30:03
Turin,4.58,4.06,6.66,mist,90,0.51,2025-02-25 09:30:03
Palermo,13.1,13.1,13.1,broken clouds,73,0.88,2025-02-25 09:45:03
Catania,14.6,12.63,16.38,clear sky,72,2.06,2025-02-25 09:45:03
Cagliari,13.74,12.88,14.95,few clouds,80,2.57,2025-02-25 09:45:03
Sassari,13.88,13.82,13.88,overcast clouds,80,5.04,2025-02-25 09:45:03
Bari,13.22,12.81,13.43,clear sky,75,1.03,2025-02-25 09:45:03
Lecce,13.94,13.81,13.94,few clouds,82,2.57,2025-02-25 09:45:03
Naples,12.81,10.9,13.75,broken clouds,88,1.54,2025-02-25 09:45:03
Rome,11.03,10.25,12.36,mist,94,1.03,2025-02-25 09:45:03
Milan,10.05,8.97,10.54,light intensity drizzle,91,1.79,2025-02-25 09:45:03
Bologna,9.51,8.85,11.47,fog,96,2.06,2025-02-25 09:45:03
Florence,12.63,11.5,13.08,broken clouds,91,2.06,2025-02-25 09:45:03
Genova,8.96,8.02,9.98,overcast clouds,93,1.34,2025-02-25 09:45:03
Turin,4.36,3.96,6.51,mist,88,0.51,2025-02-25 09:45:03
Palermo,13.65,13.65,13.65,broken clouds,72,0.88,2025-02-25 10:00:03
Catania,14.08,12.63,15.74,clear sky,72,2.06,2025-02-25 10:00:03
Cagliari,13.97,12.88,15.51,few clouds,79,2.57,2025-02-25 10:00:03
Sassari,13.88,13.27,13.88,overcast clouds,80,5.04,2025-02-25 10:00:03
Bari,13.68,12.81,13.99,clear sky,73,1.03,2025-02-25 10:00:03
Lecce,13.94,13.81,13.94,few clouds,82,2.57,2025-02-25 10:00:03
Naples,12.81,10.9,14.3,broken clouds,88,2.68,2025-02-25 10:00:03
Rome,10.99,10.25,12.06,mist,94,1.03,2025-02-25 10:00:03
Milan,10.05,8.97,10.54,light rain,91,1.79,2025-02-25 10:00:03
Bologna,9.51,8.85,11.47,fog,96,2.06,2025-02-25 10:00:03
Florence,12.68,11.5,13.08,broken clouds,91,2.06,2025-02-25 10:00:03
Genova,9.22,7.64,10.05,overcast clouds,91,0.89,2025-02-25 10:00:03
Turin,4.63,4.29,7.06,mist,87,0.51,2025-02-25 10:00:03
Palermo,14.21,10.45,14.21,broken clouds,71,0.88,2025-02-25 10:15:03
Catania,15.75,14.88,16.59,clear sky,66,3.09,2025-02-25 10:15:03
Cagliari,14.78,13.88,16.06,few clouds,75,2.24,2025-02-25 10:15:03
Sassari,13.88,13.27,13.88,overcast clouds,80,5.04,2025-02-25 10:15:03
Bari,14.03,13.99,14.19,clear sky,72,1.54,2025-02-25 10:15:03
Lecce,13.81,13.81,13.81,overcast clouds,82,2.56,2025-02-25 10:15:03
Naples,13.35,12.91,14.86,scattered clouds,86,2.24,2025-02-25 10:15:03
Rome,11.77,10.8,12.91,scattered clouds,95,1.03,2025-02-25 10:15:03
Milan,10.18,8.97,10.57,light intensity drizzle,91,1.79,2025-02-25 10:15:03
Bologna,9.51,8.85,12.02,fog,96,2.57,2025-02-25 10:15:03
Florence,12.93,11.5,13.18,overcast clouds,92,1.79,2025-02-25 10:15:03
Genova,9.34,7.64,10.05,overcast clouds,91,0.45,2025-02-25 10:15:03
Turin,4.68,4.29,7.06,overcast clouds,85,0.52,2025-02-25 10:15:03
Palermo,14.21,10.45,14.21,broken clouds,70,0.88,2025-02-25 10:30:03
Catania,14.97,13.74,17.15,clear sky,70,3.09,2025-02-25 10:30:03
Cagliari,15.37,13.88,16.62,few clouds,74,2.24,2025-02-25 10:30:03
Sassari,13.88,13.82,13.88,overcast clouds,76,5.73,2025-02-25 10:30:03
Bari,14.31,13.36,14.54,clear sky,70,1.54,2025-02-25 10:30:03
Lecce,14.94,13.81,14.94,scattered clouds,72,3.09,2025-02-25 10:30:03
Naples,13.51,12.9,14.86,scattered clouds,86,2.06,2025-02-25 10:30:03
Rome,11.8,10.8,12.91,scattered clouds,95,1.03,2025-02-25 10:30:03
Milan,10.06,9.53,10.54,light rain,91,1.79,2025-02-25 10:30:03
Bologna,9.7,8.85,12.02,fog,96,2.57,2025-02-25 10:30:03
Florence,13.47,12.34,13.82,broken clouds,90,1.54,2025-02-25 10:30:03
Genova,9.46,7.64,10.61,overcast clouds,89,1.34,2025-02-25 10:30:03
Turin,4.98,4.29,7.62,mist,86,0.0,2025-02-25 10:30:03
Palermo,14.21,12.11,14.21,broken clouds,70,0.98,2025-02-25 10:45:03
Catania,15.4,13.74,17.15,clear sky,68,1.54,2025-02-25 10:45:03
Cagliari,16.18,15.88,16.62,few clouds,66,3.09,2025-02-25 10:45:03
Sassari,14.88,13.82,14.88,overcast clouds,76,5.73,2025-02-25 10:45:03
Bari,14.52,13.36,14.63,few clouds,68,2.06,2025-02-25 10:45:03
Lecce,14.94,14.36,14.94,scattered clouds,72,3.09,2025-02-25 10:45:03
Naples,13.51,12.9,14.86,scattered clouds,86,2.06,2025-02-25 10:45:03
Rome,11.88,11.07,13.47,scattered clouds,95,1.03,2025-02-25 10:45:03
Milan,10.05,8.97,10.54,moderate rain,91,2.06,2025-02-25 10:45:03
Bologna,9.73,8.85,12.0,fog,95,3.09,2025-02-25 10:45:03
Florence,13.52,12.34,14.29,broken clouds,87,1.34,2025-02-25 10:45:03
Genova,9.39,8.2,10.61,overcast clouds,89,0.89,2025-02-25 10:45:03
Turin,5.08,4.62,7.62,mist,84,1.03,2025-02-25 10:45:03
Palermo,14.21,12.67,14.21,broken clouds,67,0.98,2025-02-25 11:00:03
Catania,16.04,14.29,17.7,clear sky,67,1.54,2025-02-25 11:00:03
Cagliari,16.18,15.88,17.15,few clouds,66,3.09,2025-02-25 11:00:03
Sassari,14.88,13.82,14.88,overcast clouds,76,5.73,2025-02-25 11:00:03
Bari,14.77,14.19,15.1,few clouds,68,2.06,2025-02-25 11:00:03
Lecce,14.94,14.36,14.94,scattered clouds,72,3.09,2025-02-25 11:00:03
Naples,13.69,12.9,14.86,scattered clouds,86,2.06,2025-02-25 11:00:03
Rome,11.93,11.63,13.47,scattered clouds,95,2.35,2025-02-25 11:00:03
Milan,10.07,8.97,10.54,fog,91,2.06,2025-02-25 11:00:03
Bologna,9.73,8.85,12.56,fog,95,3.09,2025-02-25 11:00:03
Florence,13.61,12.89,13.82,broken clouds,86,1.79,2025-02-25 11:00:03
Genova,9.62,8.2,10.61,overcast clouds,88,0.89,2025-02-25 11:00:03
Turin,5.37,4.62,8.32,mist,84,1.03,2025-02-25 11:00:03
