City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,6.43,6.43,6.56,overcast clouds,93,2.26,2025-04-01 08:04:08
Catania,10.98,9.88,11.38,broken clouds,91,3.6,2025-04-01 08:04:08
Cagliari,9.55,8.88,10.51,clear sky,62,3.6,2025-04-01 08:04:08
Sassari,2.88,2.88,2.88,clear sky,79,3.78,2025-04-01 08:04:08
Bari,11.97,11.77,12.25,broken clouds,86,6.71,2025-04-01 08:04:08
Lecce,10.94,10.94,12.7,mist,100,1.03,2025-04-01 08:04:08
Naples,11.08,10.33,12.08,light rain,69,4.63,2025-04-01 08:04:08
Rome,9.89,9.51,10.78,clear sky,63,5.14,2025-04-01 08:04:08
Milan,7.87,6.64,8.32,overcast clouds,76,2.56,2025-04-01 08:04:08
Bologna,7.59,5.85,8.69,clear sky,83,1.03,2025-04-01 08:04:08
Florence,11.36,9.9,11.82,few clouds,49,7.6,2025-04-01 08:04:08
Genova,6.03,3.38,7.76,broken clouds,44,0.89,2025-04-01 08:04:08
Turin,5.36,3.45,6.72,scattered clouds,61,1.12,2025-04-01 08:04:08
Palermo,6.43,6.43,7.11,overcast clouds,93,2.26,2025-04-01 08:15:05
Catania,10.98,9.88,11.38,broken clouds,92,3.6,2025-04-01 08:15:05
Cagliari,9.55,8.88,10.51,clear sky,62,3.6,2025-04-01 08:15:05
Sassari,2.88,2.88,2.88,clear sky,82,3.78,2025-04-01 08:15:05
Bari,11.97,11.77,12.25,broken clouds,86,6.71,2025-04-01 08:15:05
Lecce,10.94,10.94,12.7,mist,100,1.03,2025-04-01 08:15:05
Naples,11.08,10.69,12.08,light rain,69,7.2,2025-04-01 08:15:05
Rome,9.89,9.51,10.78,clear sky,63,5.14,2025-04-01 08:15:05
Milan,7.87,6.82,9.32,clear sky,82,0.51,2025-04-01 08:15:05
Bologna,7.7,6.6,8.69,clear sky,82,1.03,2025-04-01 08:15:05
Florence,11.35,10.61,11.82,scattered clouds,49,10.73,2025-04-01 08:15:05
Genova,7.85,6.26,9.73,broken clouds,36,1.15,2025-04-01 08:15:05
Turin,5.85,4.62,7.27,scattered clouds,61,1.12,2025-04-01 08:15:05
Palermo,6.99,6.99,7.11,overcast clouds,93,2.26,2025-04-01 08:30:04
Catania,10.74,9.88,11.38,broken clouds,92,3.6,2025-04-01 08:30:04
Cagliari,9.55,8.88,10.51,clear sky,62,3.6,2025-04-01 08:30:04
Sassari,2.88,2.88,2.88,clear sky,69,6.6,2025-04-01 08:30:04
Bari,11.95,10.7,12.19,broken clouds,86,4.02,2025-04-01 08:30:04
Lecce,9.94,9.94,13.25,scattered clouds,100,1.03,2025-04-01 08:30:04
Naples,10.93,8.9,12.08,light rain,70,7.2,2025-04-01 08:30:04
Rome,10.3,9.51,10.85,scattered clouds,59,5.14,2025-04-01 08:30:04
Milan,10.1,8.54,10.92,overcast clouds,78,2.56,2025-04-01 08:30:04
Bologna,8.19,6.85,9.25,clear sky,81,1.03,2025-04-01 08:30:04
Florence,11.53,10.61,12.25,scattered clouds,48,8.94,2025-04-01 08:30:04
Genova,7.52,4.8,9.5,broken clouds,43,1.15,2025-04-01 08:30:04
Turin,5.88,4.37,7.27,broken clouds,62,1.37,2025-04-01 08:30:04
Palermo,6.99,6.99,7.11,overcast clouds,93,1.9,2025-04-01 08:45:03
Catania,10.98,9.88,11.38,broken clouds,92,3.58,2025-04-01 08:45:03
Cagliari,9.55,8.88,10.51,clear sky,65,4.12,2025-04-01 08:45:03
Sassari,4.88,4.88,4.88,clear sky,69,6.6,2025-04-01 08:45:03
Bari,11.98,11.25,12.19,broken clouds,85,4.92,2025-04-01 08:45:03
Lecce,9.94,9.94,13.25,scattered clouds,100,1.03,2025-04-01 08:45:03
Naples,10.94,10.33,12.08,light rain,70,6.17,2025-04-01 08:45:03
Rome,10.31,9.51,10.85,scattered clouds,60,5.14,2025-04-01 08:45:03
Milan,9.98,8.82,11.08,clear sky,78,1.03,2025-04-01 08:45:03
Bologna,8.04,6.25,9.25,clear sky,82,1.34,2025-04-01 08:45:03
Florence,12.13,10.85,12.82,scattered clouds,47,6.17,2025-04-01 08:45:03
Genova,7.33,5.05,10.58,broken clouds,44,1.34,2025-04-01 08:45:03
Turin,5.22,4.29,7.07,broken clouds,63,1.37,2025-04-01 08:45:03
Palermo,6.99,6.99,7.67,overcast clouds,93,2.37,2025-04-01 09:00:02
Catania,10.98,9.88,11.85,moderate rain,91,3.13,2025-04-01 09:00:02
Cagliari,9.78,8.88,11.06,clear sky,64,4.12,2025-04-01 09:00:02
Sassari,4.88,4.88,4.88,clear sky,69,7.29,2025-04-01 09:00:02
Bari,12.3,11.25,12.71,broken clouds,85,4.47,2025-04-01 09:00:02
Lecce,9.94,9.94,13.81,scattered clouds,100,1.03,2025-04-01 09:00:02
Naples,10.94,10.33,12.08,light rain,71,6.17,2025-04-01 09:00:02
Rome,10.33,9.51,11.34,scattered clouds,60,5.14,2025-04-01 09:00:02
Milan,11.21,10.64,12.21,few clouds,71,1.17,2025-04-01 09:00:02
Bologna,8.78,6.85,9.8,clear sky,78,1.03,2025-04-01 09:00:02
Florence,12.14,10.85,12.82,scattered clouds,47,8.49,2025-04-01 09:00:02
Genova,8.73,6.47,10.58,broken clouds,40,1.82,2025-04-01 09:00:02
Turin,4.96,3.96,8.18,broken clouds,63,1.13,2025-04-01 09:00:02
Palermo,6.99,6.99,8.22,overcast clouds,93,2.37,2025-04-01 09:15:03
Catania,11.22,10.88,11.85,light rain,88,3.13,2025-04-01 09:15:03
Cagliari,10.37,9.88,11.06,clear sky,58,4.02,2025-04-01 09:15:03
Sassari,7.88,7.88,7.88,clear sky,73,7.29,2025-04-01 09:15:03
Bari,11.81,10.19,12.32,broken clouds,87,7.15,2025-04-01 09:15:03
Lecce,13.81,13.81,13.81,few clouds,89,5.81,2025-04-01 09:15:03
Naples,10.42,10.34,10.69,light rain,73,5.14,2025-04-01 09:15:03
Rome,9.9,9.37,11.34,clear sky,62,4.63,2025-04-01 09:15:03
Milan,11.28,10.8,12.21,clear sky,69,1.54,2025-04-01 09:15:03
Bologna,8.89,7.85,9.8,clear sky,76,1.54,2025-04-01 09:15:03
Florence,12.17,10.85,13.18,scattered clouds,47,7.72,2025-04-01 09:15:03
Genova,8.56,6.16,10.61,broken clouds,43,0.89,2025-04-01 09:15:03
Turin,5.64,4.45,7.77,broken clouds,61,1.13,2025-04-01 09:15:03
Palermo,7.54,7.54,8.22,overcast clouds,93,2.37,2025-04-01 09:30:03
Catania,11.22,10.88,11.85,moderate rain,88,3.58,2025-04-01 09:30:03
Cagliari,10.6,9.88,11.62,clear sky,57,3.58,2025-04-01 09:30:03
Sassari,7.88,7.88,7.88,clear sky,73,7.29,2025-04-01 09:30:03
Bari,11.16,10.19,11.86,broken clouds,88,4.12,2025-04-01 09:30:03
Lecce,13.94,13.81,13.94,few clouds,100,1.03,2025-04-01 09:30:03
Naples,10.54,10.34,12.08,light rain,74,5.14,2025-04-01 09:30:03
Rome,10.51,9.92,11.89,scattered clouds,61,5.66,2025-04-01 09:30:03
Milan,12.48,11.19,13.06,few clouds,63,1.17,2025-04-01 09:30:03
Bologna,9.17,7.85,9.8,clear sky,74,1.79,2025-04-01 09:30:03
Florence,12.53,11.01,12.82,scattered clouds,43,7.72,2025-04-01 09:30:03
Genova,9.56,8.38,11.16,broken clouds,44,1.82,2025-04-01 09:30:03
Turin,6.16,4.81,7.96,clear sky,58,1.03,2025-04-01 09:30:03
Palermo,7.54,7.54,8.78,overcast clouds,93,2.03,2025-04-01 09:45:03
Catania,11.22,10.88,11.85,moderate rain,88,3.6,2025-04-01 09:45:03
Cagliari,12.0,11.04,12.17,clear sky,53,3.6,2025-04-01 09:45:03
Sassari,11.88,11.88,11.88,clear sky,53,8.39,2025-04-01 09:45:03
Bari,10.79,10.19,11.3,scattered clouds,87,4.12,2025-04-01 09:45:03
Lecce,13.94,13.94,14.36,few clouds,100,1.03,2025-04-01 09:45:03
Naples,10.94,10.62,12.08,light rain,73,5.14,2025-04-01 09:45:03
Rome,10.71,9.92,11.96,scattered clouds,60,5.66,2025-04-01 09:45:03
Milan,12.91,11.82,14.65,clear sky,57,1.03,2025-04-01 09:45:03
Bologna,9.02,7.85,10.36,clear sky,78,1.03,2025-04-01 09:45:03
Florence,12.53,11.01,12.82,scattered clouds,45,7.72,2025-04-01 09:45:03
Genova,11.25,9.24,12.47,scattered clouds,36,1.79,2025-04-01 09:45:03
Turin,7.9,6.28,8.51,broken clouds,55,1.51,2025-04-01 09:45:03
Palermo,7.54,7.54,8.78,overcast clouds,92,2.03,2025-04-01 10:00:03
Catania,11.22,10.88,11.85,moderate rain,88,3.6,2025-04-01 10:00:03
Cagliari,12.23,11.88,12.73,clear sky,52,3.6,2025-04-01 10:00:03
Sassari,11.88,11.88,11.88,clear sky,53,8.39,2025-04-01 10:00:03
Bari,10.56,10.03,10.75,scattered clouds,87,4.12,2025-04-01 10:00:03
Lecce,13.94,13.94,14.92,few clouds,100,1.03,2025-04-01 10:00:03
Naples,11.09,10.69,12.08,light rain,73,5.14,2025-04-01 10:00:03
Rome,10.79,9.92,11.96,scattered clouds,60,4.63,2025-04-01 10:00:03
Milan,13.54,12.59,14.97,clear sky,54,1.17,2025-04-01 10:00:03
Bologna,9.09,7.85,10.36,clear sky,78,1.03,2025-04-01 10:00:03
Florence,12.3,11.41,12.82,scattered clouds,49,8.05,2025-04-01 10:00:03
Genova,11.4,9.6,12.51,scattered clouds,37,4.47,2025-04-01 10:00:03
Turin,8.72,6.28,9.62,broken clouds,55,1.51,2025-04-01 10:00:03
Palermo,7.54,7.54,9.89,overcast clouds,93,2.03,2025-04-01 10:15:03
Catania,11.62,10.88,11.93,moderate rain,89,3.09,2025-04-01 10:15:03
Cagliari,13.28,12.71,13.84,clear sky,49,4.63,2025-04-01 10:15:03
Sassari,12.88,12.88,12.88,clear sky,51,8.39,2025-04-01 10:15:03
Bari,11.0,10.19,11.3,scattered clouds,88,4.12,2025-04-01 10:15:03
Lecce,15.48,15.48,15.48,scattered clouds,85,6.08,2025-04-01 10:15:03
Naples,11.08,10.69,12.08,light rain,73,5.66,2025-04-01 10:15:03
Rome,10.85,9.92,11.96,few clouds,65,4.63,2025-04-01 10:15:03
Milan,13.61,13.26,14.97,clear sky,44,0.51,2025-04-01 10:15:03
Bologna,9.01,8.47,9.8,clear sky,77,2.57,2025-04-01 10:15:03
Florence,12.89,11.41,13.82,scattered clouds,48,9.39,2025-04-01 10:15:03
Genova,11.59,9.6,12.51,scattered clouds,38,3.58,2025-04-01 10:15:03
Turin,9.26,6.84,9.62,broken clouds,48,1.51,2025-04-01 10:15:03
Palermo,8.1,8.1,9.34,overcast clouds,93,2.03,2025-04-01 10:30:03
Catania,11.82,10.88,12.53,light rain,89,3.09,2025-04-01 10:30:03
Cagliari,13.4,12.88,13.84,clear sky,51,4.63,2025-04-01 10:30:03
Sassari,12.88,12.88,12.88,clear sky,51,8.39,2025-04-01 10:30:03
Bari,11.16,10.19,11.86,scattered clouds,87,4.92,2025-04-01 10:30:03
Lecce,15.94,15.94,16.03,few clouds,94,3.6,2025-04-01 10:30:03
Naples,11.27,10.9,12.08,light rain,73,5.66,2025-04-01 10:30:03
Rome,11.47,10.8,11.96,scattered clouds,58,6.17,2025-04-01 10:30:03
Milan,14.01,13.26,15.2,clear sky,48,0.51,2025-04-01 10:30:03
Bologna,9.22,8.85,9.8,clear sky,76,2.57,2025-04-01 10:30:03
Florence,13.07,11.41,13.82,scattered clouds,47,8.05,2025-04-01 10:30:03
Genova,11.87,10.16,12.51,few clouds,35,3.13,2025-04-01 10:30:03
Turin,8.43,6.84,9.62,clear sky,43,1.03,2025-04-01 10:30:03
Palermo,8.1,8.1,10.45,overcast clouds,92,2.83,2025-04-01 10:45:03
Catania,11.83,10.88,12.96,broken clouds,90,3.09,2025-04-01 10:45:03
Cagliari,14.61,13.05,14.88,clear sky,47,4.63,2025-04-01 10:45:03
Sassari,12.88,12.88,12.88,clear sky,46,8.56,2025-04-01 10:45:03
Bari,11.92,11.14,12.41,scattered clouds,86,4.12,2025-04-01 10:45:03
Lecce,15.94,15.94,16.03,few clouds,94,3.6,2025-04-01 10:45:03
Naples,11.27,10.9,12.08,light rain,76,4.63,2025-04-01 10:45:03
Rome,11.5,10.47,12.28,scattered clouds,57,6.17,2025-04-01 10:45:03
Milan,14.47,13.7,15.54,clear sky,46,1.03,2025-04-01 10:45:03
Bologna,9.22,8.85,10.36,clear sky,76,2.57,2025-04-01 10:45:03
Florence,12.32,11.41,13.18,scattered clouds,51,12.52,2025-04-01 10:45:03
Genova,11.96,10.16,13.07,few clouds,33,4.92,2025-04-01 10:45:03
Turin,8.22,7.35,9.62,clear sky,43,1.03,2025-04-01 10:45:03
Palermo,8.1,8.1,9.89,overcast clouds,92,2.83,2025-04-01 11:00:03
Catania,12.0,10.88,13.04,light rain,90,3.09,2025-04-01 11:00:03
Cagliari,14.91,14.37,14.95,clear sky,43,4.63,2025-04-01 11:00:03
Sassari,12.88,12.88,12.88,clear sky,46,8.56,2025-04-01 11:00:03
Bari,11.75,11.14,12.32,scattered clouds,87,4.47,2025-04-01 11:00:03
Lecce,15.94,15.94,16.59,few clouds,94,3.6,2025-04-01 11:00:03
Naples,11.41,10.9,12.08,broken clouds,75,4.63,2025-04-01 11:00:03
Rome,11.65,11.06,13.01,scattered clouds,58,5.66,2025-04-01 11:00:03
Milan,14.76,14.25,15.76,clear sky,44,1.03,2025-04-01 11:00:03
Bologna,9.4,8.85,10.36,clear sky,75,2.57,2025-04-01 11:00:03
Florence,12.32,11.41,13.18,scattered clouds,53,7.6,2025-04-01 11:00:03
Genova,12.16,10.16,13.57,few clouds,31,4.92,2025-04-01 11:00:03
Turin,9.01,7.45,9.62,overcast clouds,58,1.84,2025-04-01 11:00:03
Palermo,8.1,8.1,9.89,overcast clouds,92,2.83,2025-04-01 11:15:02
Catania,12.48,11.88,13.04,broken clouds,88,2.06,2025-04-01 11:15:02
Cagliari,15.49,14.93,15.88,clear sky,39,4.63,2025-04-01 11:15:02
Sassari,14.88,14.88,14.88,clear sky,47,8.56,2025-04-01 11:15:02
Bari,12.41,11.81,12.97,scattered clouds,84,4.63,2025-04-01 11:15:02
Lecce,16.59,16.59,16.59,scattered clouds,73,5.48,2025-04-01 11:15:02
Naples,12.01,11.44,12.34,light rain,71,5.14,2025-04-01 11:15:02
Rome,11.57,11.06,13.39,light rain,64,4.63,2025-04-01 11:15:02
Milan,14.88,14.37,16.08,clear sky,43,0.45,2025-04-01 11:15:02
Bologna,9.83,8.85,10.36,light rain,75,2.06,2025-04-01 11:15:02
Florence,12.9,11.41,13.82,scattered clouds,48,10.73,2025-04-01 11:15:02
Genova,12.46,11.47,12.81,few clouds,29,1.34,2025-04-01 11:15:02
Turin,9.18,8.15,9.62,overcast clouds,45,1.84,2025-04-01 11:15:02
Palermo,8.1,8.1,9.89,overcast clouds,92,2.51,2025-04-01 11:30:02
Catania,12.67,11.88,13.6,broken clouds,87,2.06,2025-04-01 11:30:02
Cagliari,15.45,14.95,15.88,clear sky,42,5.66,2025-04-01 11:30:02
Sassari,14.88,14.88,14.88,clear sky,47,8.56,2025-04-01 11:30:02
Bari,12.58,12.15,12.97,scattered clouds,83,4.63,2025-04-01 11:30:02
Lecce,17.94,16.59,17.94,few clouds,68,5.66,2025-04-01 11:30:02
Naples,12.14,11.53,12.34,light rain,70,5.14,2025-04-01 11:30:02
Rome,12.12,11.06,13.94,light rain,60,5.14,2025-04-01 11:30:02
Milan,15.36,14.93,16.08,clear sky,40,0.89,2025-04-01 11:30:02
Bologna,9.91,8.85,10.36,light rain,75,2.06,2025-04-01 11:30:02
Florence,13.08,11.41,14.08,scattered clouds,49,9.83,2025-04-01 11:30:02
