City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,15.49,15.49,15.49,overcast clouds,65,2.73,2025-04-05 15:09:10
Catania,18.4,16.85,18.88,scattered clouds,73,4.63,2025-04-05 15:09:10
Cagliari,17.23,16.88,17.73,light rain,66,3.09,2025-04-05 15:09:10
Sassari,16.88,16.88,16.88,overcast clouds,59,3.1,2025-04-05 15:09:10
Bari,16.88,16.77,17.25,few clouds,62,3.6,2025-04-05 15:09:10
Lecce,17.7,17.7,17.7,scattered clouds,65,2.97,2025-04-05 15:09:10
Naples,19.6,17.91,20.62,clear sky,41,4.63,2025-04-05 15:09:10
Rome,19.92,18.39,20.6,few clouds,47,4.12,2025-04-05 15:09:10
Milan,21.69,21.04,23.3,clear sky,48,4.47,2025-04-05 15:09:10
Bologna,21.78,20.85,22.58,clear sky,41,2.57,2025-04-05 15:09:10
Florence,22.44,20.94,22.82,clear sky,35,3.13,2025-04-05 15:09:10
Genova,14.39,12.38,15.91,few clouds,63,4.12,2025-04-05 15:09:10
Turin,18.26,17.13,18.96,few clouds,52,3.0,2025-04-05 15:09:10
Palermo,15.49,15.49,15.49,overcast clouds,65,2.73,2025-04-05 15:15:06
Catania,18.4,16.85,18.88,scattered clouds,73,4.63,2025-04-05 15:15:06
Cagliari,17.23,16.6,17.73,light rain,66,3.09,2025-04-05 15:15:06
Sassari,15.88,15.88,15.88,overcast clouds,59,3.1,2025-04-05 15:15:06
Bari,16.88,16.77,17.25,few clouds,62,3.6,2025-04-05 15:15:06
Lecce,17.7,17.7,17.7,scattered clouds,65,2.97,2025-04-05 15:15:06
Naples,19.6,17.64,20.62,clear sky,41,4.63,2025-04-05 15:15:06
Rome,19.92,18.39,20.6,few clouds,47,4.12,2025-04-05 15:15:06
Milan,21.88,21.04,23.21,clear sky,50,3.6,2025-04-05 15:15:06
Bologna,21.78,20.85,22.58,clear sky,41,2.57,2025-04-05 15:15:06
Florence,22.5,20.94,23.18,clear sky,35,3.13,2025-04-05 15:15:06
Genova,14.21,12.38,15.79,few clouds,65,4.47,2025-04-05 15:15:06
Turin,18.26,17.13,18.96,few clouds,52,3.0,2025-04-05 15:15:06
Palermo,15.49,15.49,15.49,overcast clouds,65,2.73,2025-04-05 15:30:02
Catania,17.39,16.85,18.0,scattered clouds,80,1.34,2025-04-05 15:30:02
Cagliari,16.95,16.6,18.05,light rain,70,3.09,2025-04-05 15:30:02
Sassari,15.88,15.88,15.88,overcast clouds,59,3.1,2025-04-05 15:30:02
Bari,17.34,17.19,17.41,few clouds,62,3.6,2025-04-05 15:30:02
Lecce,18.94,17.7,18.94,scattered clouds,59,3.6,2025-04-05 15:30:02
Naples,19.63,17.64,20.34,clear sky,41,4.63,2025-04-05 15:30:02
Rome,19.74,18.18,20.6,clear sky,49,4.63,2025-04-05 15:30:02
Milan,21.72,21.04,23.3,clear sky,48,3.6,2025-04-05 15:30:02
Bologna,22.2,20.85,23.14,clear sky,41,2.57,2025-04-05 15:30:02
Florence,22.46,20.94,22.82,clear sky,36,3.09,2025-04-05 15:30:02
Genova,14.45,12.43,15.91,few clouds,62,4.63,2025-04-05 15:30:02
Turin,18.25,17.13,18.96,clear sky,50,2.57,2025-04-05 15:30:02
Palermo,15.05,15.05,15.05,overcast clouds,74,2.35,2025-04-05 15:45:02
Catania,17.55,16.29,18.0,scattered clouds,77,5.14,2025-04-05 15:45:02
Cagliari,17.47,16.88,18.28,few clouds,73,4.12,2025-04-05 15:45:02
Sassari,15.88,15.88,15.88,overcast clouds,62,2.46,2025-04-05 15:45:02
Bari,17.34,17.19,17.41,few clouds,63,3.09,2025-04-05 15:45:02
Lecce,18.94,17.7,18.94,scattered clouds,59,3.6,2025-04-05 15:45:02
Naples,18.69,17.91,19.34,few clouds,42,5.36,2025-04-05 15:45:02
Rome,19.65,18.18,20.6,clear sky,50,4.63,2025-04-05 15:45:02
Milan,22.0,21.08,23.86,clear sky,46,3.13,2025-04-05 15:45:02
Bologna,22.02,21.45,22.58,clear sky,40,2.24,2025-04-05 15:45:02
Florence,22.69,20.94,23.74,clear sky,34,3.09,2025-04-05 15:45:02
Genova,14.63,12.38,15.79,few clouds,61,4.63,2025-04-05 15:45:02
Turin,18.32,17.13,19.06,clear sky,50,2.57,2025-04-05 15:45:02
Palermo,15.05,15.05,15.05,overcast clouds,73,2.35,2025-04-05 16:00:02
Catania,17.27,16.29,18.0,scattered clouds,77,5.14,2025-04-05 16:00:02
Cagliari,17.56,16.88,18.28,few clouds,72,4.12,2025-04-05 16:00:02
Sassari,15.88,15.88,15.88,overcast clouds,62,2.46,2025-04-05 16:00:02
Bari,17.34,17.19,17.41,few clouds,65,3.09,2025-04-05 16:00:02
Lecce,18.94,17.7,18.94,scattered clouds,59,3.6,2025-04-05 16:00:02
Naples,18.94,18.11,19.34,few clouds,43,4.12,2025-04-05 16:00:02
Rome,19.92,18.56,20.6,few clouds,52,3.6,2025-04-05 16:00:02
Milan,22.13,21.08,23.86,clear sky,46,5.36,2025-04-05 16:00:02
Bologna,22.36,21.69,23.36,clear sky,39,2.06,2025-04-05 16:00:02
Florence,22.51,20.94,23.18,clear sky,34,3.13,2025-04-05 16:00:02
Genova,14.58,12.94,15.68,few clouds,61,4.63,2025-04-05 16:00:02
Turin,18.73,17.13,19.06,scattered clouds,52,2.45,2025-04-05 16:00:02
Palermo,15.09,15.09,15.09,overcast clouds,73,2.35,2025-04-05 16:15:02
Catania,16.91,16.29,16.93,scattered clouds,80,5.14,2025-04-05 16:15:02
Cagliari,17.46,16.88,18.28,clear sky,68,4.12,2025-04-05 16:15:02
Sassari,16.88,16.88,16.88,overcast clouds,62,2.46,2025-04-05 16:15:02
Bari,16.57,15.49,17.32,few clouds,70,4.02,2025-04-05 16:15:02
Lecce,18.25,18.25,18.25,scattered clouds,58,3.28,2025-04-05 16:15:02
Naples,19.05,17.64,20.06,few clouds,45,4.92,2025-04-05 16:15:02
Rome,19.99,18.56,20.8,few clouds,53,3.6,2025-04-05 16:15:02
Milan,22.12,21.6,23.58,clear sky,47,3.6,2025-04-05 16:15:02
Bologna,22.45,21.85,23.14,clear sky,39,2.57,2025-04-05 16:15:02
Florence,22.67,20.39,23.36,clear sky,35,3.09,2025-04-05 16:15:02
Genova,14.69,12.76,15.79,few clouds,61,1.79,2025-04-05 16:15:02
Turin,18.86,17.83,19.06,scattered clouds,51,2.45,2025-04-05 16:15:02
