City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,9.21,9.21,9.21,overcast clouds,82,0.93,2025-02-17 08:32:39
Catania,11.66,10.96,13.26,overcast clouds,82,1.73,2025-02-17 08:32:39
Cagliari,7.19,5.05,8.28,clear sky,76,2.68,2025-02-17 08:32:39
Sassari,6.88,6.88,12.71,overcast clouds,78,2.43,2025-02-17 08:32:39
Bari,9.33,9.08,9.54,scattered clouds,88,2.57,2025-02-17 08:32:39
Lecce,8.94,8.94,11.03,broken clouds,93,1.03,2025-02-17 08:32:39
Naples,8.77,8.34,10.89,few clouds,85,1.54,2025-02-17 08:32:39
Rome,6.54,4.06,10.47,clear sky,87,2.06,2025-02-17 08:32:39
Milan,3.1,2.82,3.41,broken clouds,78,2.57,2025-02-17 08:32:39
Bologna,1.55,0.85,2.58,broken clouds,81,0.51,2025-02-17 08:32:39
Florence,5.6,4.64,6.52,broken clouds,71,1.03,2025-02-17 08:32:39
Genova,2.41,1.7,3.48,overcast clouds,70,2.68,2025-02-17 08:32:39
Turin,-0.13,-0.55,2.07,overcast clouds,84,0.26,2025-02-17 08:32:39
Palermo,9.21,9.21,9.21,overcast clouds,82,0.93,2025-02-17 08:38:19
Catania,11.65,10.96,12.4,overcast clouds,82,1.73,2025-02-17 08:38:19
Cagliari,7.19,5.05,8.28,clear sky,76,2.68,2025-02-17 08:38:19
Sassari,6.88,6.88,12.71,overcast clouds,78,2.43,2025-02-17 08:38:19
Bari,9.78,9.47,10.7,scattered clouds,86,3.09,2025-02-17 08:38:19
Lecce,8.94,8.94,11.03,broken clouds,93,1.03,2025-02-17 08:38:19
Naples,9.51,8.95,10.89,few clouds,85,2.06,2025-02-17 08:38:19
Rome,7.61,5.06,11.03,clear sky,87,1.54,2025-02-17 08:38:19
Milan,3.1,2.82,3.41,overcast clouds,78,3.09,2025-02-17 08:38:19
Bologna,1.64,1.25,2.58,broken clouds,80,0.51,2025-02-17 08:38:19
Florence,5.95,5.19,6.52,scattered clouds,69,1.54,2025-02-17 08:38:19
Genova,2.59,1.7,3.92,overcast clouds,70,1.79,2025-02-17 08:38:19
Turin,0.03,-0.71,2.07,overcast clouds,85,1.07,2025-02-17 08:38:19
Palermo,9.21,9.21,9.21,overcast clouds,82,0.93,2025-02-17 08:45:12
Catania,11.65,10.96,12.4,overcast clouds,82,1.73,2025-02-17 08:45:12
Cagliari,7.19,5.05,8.28,clear sky,76,2.68,2025-02-17 08:45:12
Sassari,6.88,6.88,6.88,overcast clouds,78,2.43,2025-02-17 08:45:12
Bari,9.78,9.47,10.7,scattered clouds,86,3.09,2025-02-17 08:45:12
Lecce,8.94,8.94,11.03,broken clouds,93,1.03,2025-02-17 08:45:12
Naples,9.65,9.34,11.44,few clouds,85,2.06,2025-02-17 08:45:12
Rome,7.84,5.06,11.03,clear sky,87,1.54,2025-02-17 08:45:12
Milan,3.1,2.82,3.41,overcast clouds,78,3.09,2025-02-17 08:45:12
Bologna,1.64,1.25,2.58,broken clouds,79,0.51,2025-02-17 08:45:12
Florence,6.1,5.45,6.97,scattered clouds,69,1.54,2025-02-17 08:45:12
Genova,2.83,1.7,4.24,overcast clouds,70,3.58,2025-02-17 08:45:12
Turin,0.03,-0.71,2.07,overcast clouds,85,1.07,2025-02-17 08:45:12
Palermo,9.76,9.76,9.76,overcast clouds,81,0.93,2025-02-17 09:00:10
Catania,12.24,11.52,14.93,overcast clouds,82,1.73,2025-02-17 09:00:10
Cagliari,7.49,5.05,8.84,clear sky,76,2.68,2025-02-17 09:00:10
Sassari,6.88,6.88,6.88,overcast clouds,78,2.43,2025-02-17 09:00:10
Bari,10.08,9.47,10.19,scattered clouds,86,3.09,2025-02-17 09:00:10
Lecce,8.94,8.94,11.59,broken clouds,93,1.03,2025-02-17 09:00:10
Naples,9.78,9.34,12.55,few clouds,84,2.06,2025-02-17 09:00:10
Rome,7.45,5.06,11.58,clear sky,87,1.54,2025-02-17 09:00:10
Milan,3.1,2.82,3.41,overcast clouds,77,3.13,2025-02-17 09:00:10
Bologna,2.0,1.6,2.58,broken clouds,79,0.89,2025-02-17 09:00:10
Florence,6.32,5.67,7.07,scattered clouds,69,1.54,2025-02-17 09:00:10
Genova,2.08,1.31,3.92,overcast clouds,78,6.26,2025-02-17 09:00:10
Turin,0.16,-0.19,2.07,overcast clouds,84,1.07,2025-02-17 09:00:10
