City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,12.54,12.54,12.54,overcast clouds,79,1.59,2025-03-12 00:00:02
Catania,15.37,14.88,15.86,clear sky,94,0.51,2025-03-12 00:00:02
Cagliari,14.32,13.82,14.95,clear sky,79,2.57,2025-03-12 00:00:02
Sassari,13.88,13.82,13.88,broken clouds,74,5.45,2025-03-12 00:00:02
Bari,14.67,13.52,15.49,clear sky,86,1.03,2025-03-12 00:00:02
Lecce,15.94,15.48,15.94,mist,94,1.54,2025-03-12 00:00:02
Naples,12.59,11.44,12.91,clear sky,92,0.51,2025-03-12 00:00:02
Rome,12.58,12.18,13.47,scattered clouds,89,3.09,2025-03-12 00:00:02
Milan,10.39,9.53,11.04,broken clouds,93,2.06,2025-03-12 00:00:02
Bologna,11.48,10.7,12.58,moderate rain,92,1.54,2025-03-12 00:00:02
Florence,12.76,11.5,13.53,broken clouds,85,2.57,2025-03-12 00:00:02
Genova,7.83,6.47,8.92,light rain,90,0.45,2025-03-12 00:00:02
Turin,4.86,4.51,6.51,light rain,92,0.65,2025-03-12 00:00:02
Palermo,12.54,12.54,12.54,overcast clouds,78,1.59,2025-03-12 00:15:02
Catania,15.37,14.88,16.59,clear sky,94,1.03,2025-03-12 00:15:02
Cagliari,14.91,13.82,14.95,clear sky,76,3.6,2025-03-12 00:15:02
Sassari,13.88,13.88,14.38,broken clouds,74,5.45,2025-03-12 00:15:02
Bari,14.33,13.19,15.1,clear sky,87,1.54,2025-03-12 00:15:02
Lecce,15.48,15.48,15.48,overcast clouds,93,4.95,2025-03-12 00:15:02
Naples,12.04,11.34,12.91,clear sky,95,0.0,2025-03-12 00:15:02
Rome,12.5,12.18,13.47,scattered clouds,90,2.55,2025-03-12 00:15:02
Milan,10.24,9.53,10.57,light rain,93,1.54,2025-03-12 00:15:02
Bologna,11.48,10.7,12.56,moderate rain,93,2.06,2025-03-12 00:15:02
Florence,12.76,12.07,13.53,broken clouds,84,2.06,2025-03-12 00:15:02
Genova,7.88,6.47,8.94,moderate rain,90,0.89,2025-03-12 00:15:02
Turin,4.79,4.51,6.59,light rain,92,0.65,2025-03-12 00:15:02
Palermo,13.1,13.1,13.1,overcast clouds,75,1.59,2025-03-12 00:30:02
