City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,9.21,6.0,9.21,clear sky,78,1.35,2025-03-05 08:17:32
Catania,11.84,10.41,13.04,few clouds,78,2.94,2025-03-05 08:17:32
Cagliari,11.88,11.88,11.88,clear sky,62,4.63,2025-03-05 08:17:32
Sassari,6.88,6.88,6.88,clear sky,74,2.84,2025-03-05 08:17:32
Bari,8.55,8.26,9.08,clear sky,83,0.89,2025-03-05 08:17:32
Lecce,10.48,10.48,10.48,clear sky,88,3.21,2025-03-05 08:17:32
Naples,9.97,9.34,11.53,clear sky,68,1.54,2025-03-05 08:17:32
Rome,5.49,4.83,10.95,clear sky,94,2.57,2025-03-05 08:17:32
Milan,6.45,5.49,7.77,clear sky,90,0.85,2025-03-05 08:17:32
Bologna,6.96,4.85,8.36,clear sky,68,2.06,2025-03-05 08:17:32
Florence,8.21,8.08,11.22,overcast clouds,59,1.05,2025-03-05 08:17:32
Genova,6.62,5.23,8.39,clear sky,44,2.6,2025-03-05 08:17:32
Turin,3.01,1.72,3.81,scattered clouds,50,3.91,2025-03-05 08:17:32
Palermo,9.76,8.22,9.76,clear sky,79,1.35,2025-03-05 08:30:11
Catania,11.86,10.41,13.04,clear sky,77,4.1,2025-03-05 08:30:11
Cagliari,11.88,8.05,11.88,clear sky,62,4.63,2025-03-05 08:30:11
Sassari,6.88,6.88,6.88,clear sky,74,2.84,2025-03-05 08:30:11
Bari,9.27,8.92,10.19,clear sky,82,2.06,2025-03-05 08:30:11
Lecce,9.94,9.94,11.59,clear sky,100,4.12,2025-03-05 08:30:11
Naples,10.63,9.34,12.08,clear sky,67,1.54,2025-03-05 08:30:11
Rome,5.69,4.83,10.95,clear sky,96,2.57,2025-03-05 08:30:11
Milan,6.63,4.13,8.32,clear sky,89,0.85,2025-03-05 08:30:11
Bologna,7.42,4.85,8.92,clear sky,67,2.06,2025-03-05 08:30:11
Florence,9.22,5.96,10.05,overcast clouds,62,1.05,2025-03-05 08:30:11
Genova,5.1,2.83,6.76,clear sky,57,1.79,2025-03-05 08:30:11
Turin,1.69,0.37,2.07,scattered clouds,69,3.91,2025-03-05 08:30:11
Palermo,10.32,9.34,10.32,clear sky,81,1.63,2025-03-05 08:45:06
Catania,11.83,9.88,13.04,broken clouds,76,1.54,2025-03-05 08:45:06
Cagliari,13.04,12.88,13.82,clear sky,54,4.63,2025-03-05 08:45:06
Sassari,8.88,8.88,8.88,clear sky,66,2.74,2025-03-05 08:45:06
Bari,9.77,9.54,10.19,clear sky,82,2.24,2025-03-05 08:45:06
Lecce,9.94,9.94,12.14,clear sky,100,4.12,2025-03-05 08:45:06
Naples,11.18,10.34,12.08,clear sky,63,2.06,2025-03-05 08:45:06
Rome,9.33,7.06,12.46,clear sky,87,1.54,2025-03-05 08:45:06
Milan,8.36,7.3,8.86,clear sky,99,0.59,2025-03-05 08:45:06
Bologna,9.47,7.15,9.47,broken clouds,59,0.96,2025-03-05 08:45:06
Florence,10.38,10.3,12.68,broken clouds,55,0.92,2025-03-05 08:45:06
Genova,8.32,6.34,10.05,clear sky,47,1.85,2025-03-05 08:45:06
Turin,4.04,3.38,6.59,few clouds,64,2.0,2025-03-05 08:45:06
Palermo,10.32,10.32,11.56,clear sky,78,1.63,2025-03-05 09:00:03
Catania,12.11,9.88,13.6,broken clouds,74,1.54,2025-03-05 09:00:03
Cagliari,13.28,12.88,14.37,clear sky,53,4.63,2025-03-05 09:00:03
Sassari,8.88,8.88,8.88,clear sky,66,2.74,2025-03-05 09:00:03
Bari,10.08,9.93,10.59,clear sky,82,2.24,2025-03-05 09:00:03
Lecce,9.94,9.94,12.14,clear sky,100,4.12,2025-03-05 09:00:03
Naples,11.55,10.34,12.91,clear sky,63,2.06,2025-03-05 09:00:03
Rome,8.6,7.06,13.08,clear sky,85,1.54,2025-03-05 09:00:03
Milan,8.04,6.55,10.2,clear sky,85,0.59,2025-03-05 09:00:03
Bologna,8.94,7.36,10.03,broken clouds,63,0.96,2025-03-05 09:00:03
Florence,10.28,8.18,13.23,broken clouds,61,0.92,2025-03-05 09:00:03
Genova,8.97,6.9,10.42,clear sky,52,1.85,2025-03-05 09:00:03
Turin,5.68,3.94,8.26,few clouds,57,2.0,2025-03-05 09:00:03
Palermo,10.87,10.87,11.56,clear sky,77,1.63,2025-03-05 09:15:03
Catania,12.28,10.88,13.6,broken clouds,73,1.34,2025-03-05 09:15:03
Cagliari,13.86,13.84,14.37,few clouds,53,4.47,2025-03-05 09:15:03
Sassari,11.88,11.88,11.88,clear sky,66,2.74,2025-03-05 09:15:03
Bari,10.93,10.49,12.19,clear sky,79,3.09,2025-03-05 09:15:03
Lecce,12.7,12.7,12.7,clear sky,83,5.12,2025-03-05 09:15:03
Naples,12.88,12.64,13.11,clear sky,60,1.2,2025-03-05 09:15:03
Rome,10.16,8.06,13.08,clear sky,87,2.06,2025-03-05 09:15:03
Milan,8.55,7.1,10.52,clear sky,80,0.51,2025-03-05 09:15:03
Bologna,10.29,7.85,11.69,clear sky,59,2.06,2025-03-05 09:15:03
Florence,10.7,8.18,13.45,broken clouds,58,0.92,2025-03-05 09:15:03
Genova,8.73,5.35,9.98,clear sky,50,1.85,2025-03-05 09:15:03
Turin,5.84,3.51,6.73,few clouds,55,2.0,2025-03-05 09:15:03
Palermo,11.43,11.43,12.11,clear sky,78,1.61,2025-03-05 09:30:08
Catania,12.58,10.88,14.15,broken clouds,73,1.03,2025-03-05 09:30:08
Cagliari,14.09,13.88,14.93,few clouds,53,4.12,2025-03-05 09:30:08
Sassari,11.88,11.88,11.88,clear sky,66,2.74,2025-03-05 09:30:08
Bari,11.24,10.49,12.19,clear sky,77,3.09,2025-03-05 09:30:08
Lecce,12.94,12.94,13.25,clear sky,88,4.12,2025-03-05 09:30:08
Naples,12.57,11.34,13.47,clear sky,58,1.54,2025-03-05 09:30:08
Rome,8.75,7.83,13.63,clear sky,87,2.06,2025-03-05 09:30:08
Milan,8.88,7.82,11.66,clear sky,73,0.51,2025-03-05 09:30:08
Bologna,8.22,7.85,9.22,clear sky,63,2.06,2025-03-05 09:30:08
Florence,11.05,8.74,11.72,broken clouds,56,0.92,2025-03-05 09:30:08
Genova,7.56,6.16,8.76,clear sky,52,1.34,2025-03-05 09:30:08
Turin,5.39,4.35,7.27,clear sky,60,0.51,2025-03-05 09:30:08
Palermo,11.43,11.43,12.67,clear sky,74,1.61,2025-03-05 09:45:04
Catania,13.11,11.52,14.15,broken clouds,69,1.54,2025-03-05 09:45:04
Cagliari,14.91,14.88,14.95,few clouds,50,4.47,2025-03-05 09:45:04
Sassari,12.88,12.88,12.88,clear sky,58,2.78,2025-03-05 09:45:04
Bari,11.73,11.04,12.41,clear sky,76,3.09,2025-03-05 09:45:04
Lecce,12.94,12.94,13.81,clear sky,88,4.12,2025-03-05 09:45:04
Naples,13.86,12.55,14.51,clear sky,54,1.54,2025-03-05 09:45:04
Rome,11.13,9.06,14.12,clear sky,87,2.06,2025-03-05 09:45:04
Milan,10.2,8.77,12.86,clear sky,74,0.51,2025-03-05 09:45:04
Bologna,11.01,8.82,12.25,clear sky,57,1.54,2025-03-05 09:45:04
Florence,11.97,9.85,14.34,scattered clouds,54,0.9,2025-03-05 09:45:04
Genova,9.49,7.68,10.8,clear sky,53,3.6,2025-03-05 09:45:04
Turin,8.87,6.45,9.84,clear sky,49,0.77,2025-03-05 09:45:04
Palermo,11.43,11.43,13.78,clear sky,74,1.61,2025-03-05 10:00:05
Catania,13.73,12.63,14.71,broken clouds,67,1.54,2025-03-05 10:00:05
Cagliari,14.91,14.88,15.49,few clouds,51,4.12,2025-03-05 10:00:05
Sassari,12.88,12.88,12.88,clear sky,58,2.78,2025-03-05 10:00:05
Bari,12.04,11.04,12.97,clear sky,75,3.13,2025-03-05 10:00:05
Lecce,12.94,12.94,14.36,clear sky,88,4.12,2025-03-05 10:00:05
Naples,13.86,12.55,14.51,clear sky,54,1.54,2025-03-05 10:00:05
Rome,11.88,10.69,14.29,clear sky,53,0.65,2025-03-05 10:00:05
Milan,10.04,8.77,13.32,clear sky,69,0.51,2025-03-05 10:00:05
Bologna,11.73,9.78,12.81,clear sky,54,1.54,2025-03-05 10:00:05
Florence,11.97,9.85,14.9,scattered clouds,55,0.9,2025-03-05 10:00:05
Genova,9.15,8.38,11.09,clear sky,51,1.52,2025-03-05 10:00:05
Turin,9.49,6.45,10.07,clear sky,47,0.77,2025-03-05 10:00:05
Palermo,11.99,11.99,11.99,clear sky,73,1.61,2025-03-05 10:15:04
Catania,14.07,12.63,14.88,scattered clouds,65,5.66,2025-03-05 10:15:04
Cagliari,14.91,14.88,15.49,few clouds,49,4.12,2025-03-05 10:15:04
Sassari,13.88,13.88,13.88,clear sky,58,2.78,2025-03-05 10:15:04
Bari,12.34,11.6,13.19,clear sky,74,2.57,2025-03-05 10:15:04
Lecce,14.92,14.92,14.92,clear sky,72,5.29,2025-03-05 10:15:04
Naples,14.6,12.55,15.06,clear sky,52,1.54,2025-03-05 10:15:04
Rome,13.22,11.25,15.3,clear sky,53,0.65,2025-03-05 10:15:04
Milan,11.37,9.69,13.97,clear sky,69,0.51,2025-03-05 10:15:04
Bologna,11.8,9.85,12.81,clear sky,54,1.79,2025-03-05 10:15:04
Florence,10.85,9.82,14.9,clear sky,57,0.51,2025-03-05 10:15:04
Genova,10.03,8.13,11.36,clear sky,50,0.89,2025-03-05 10:15:04
Turin,9.71,6.45,10.4,clear sky,46,0.77,2025-03-05 10:15:04
Palermo,12.54,12.54,12.54,clear sky,72,2.04,2025-03-05 10:30:05
Catania,14.23,12.7,14.88,scattered clouds,66,5.66,2025-03-05 10:30:05
Cagliari,14.91,14.88,16.04,few clouds,48,4.47,2025-03-05 10:30:05
Sassari,13.88,13.88,17.71,clear sky,51,3.21,2025-03-05 10:30:05
Bari,12.5,11.6,13.19,clear sky,74,2.57,2025-03-05 10:30:05
Lecce,14.94,14.92,14.94,few clouds,72,5.14,2025-03-05 10:30:05
Naples,14.94,13.9,15.62,clear sky,50,1.54,2025-03-05 10:30:05
