City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,9.21,9.21,9.21,broken clouds,94,1.68,2025-02-21 06:45:34
Catania,11.26,9.85,11.93,broken clouds,91,2.06,2025-02-21 06:45:34
Cagliari,12.02,10.88,13.28,scattered clouds,85,2.06,2025-02-21 06:45:34
Sassari,7.88,7.88,7.88,clear sky,92,2.46,2025-02-21 06:45:34
Bari,6.89,6.19,7.32,broken clouds,84,3.09,2025-02-21 06:45:34
Lecce,4.94,4.94,6.03,broken clouds,93,1.54,2025-02-21 06:45:34
Naples,4.94,4.34,7.0,clear sky,86,2.06,2025-02-21 06:45:34
Rome,6.04,5.06,8.25,scattered clouds,93,1.54,2025-02-21 06:45:34
Milan,1.01,-0.18,2.77,fog,93,0.51,2025-02-21 06:45:34
Bologna,1.73,0.85,2.72,clear sky,86,3.09,2025-02-21 06:45:34
Florence,3.73,2.42,5.67,clear sky,91,0.51,2025-02-21 06:45:34
Genova,5.84,4.49,7.37,broken clouds,74,0.45,2025-02-21 06:45:34
Turin,-3.07,-3.55,-0.16,broken clouds,83,1.41,2025-02-21 06:45:34
Palermo,9.21,9.21,9.21,broken clouds,94,1.71,2025-02-21 07:00:07
Catania,11.26,9.85,11.93,broken clouds,91,2.06,2025-02-21 07:00:07
Cagliari,12.02,10.88,13.28,scattered clouds,84,2.06,2025-02-21 07:00:07
Sassari,7.88,7.88,7.88,clear sky,92,2.45,2025-02-21 07:00:07
Bari,6.89,6.19,7.32,broken clouds,84,3.09,2025-02-21 07:00:07
Lecce,4.94,4.94,6.03,broken clouds,93,1.54,2025-02-21 07:00:07
Naples,4.94,4.34,7.0,clear sky,86,2.06,2025-02-21 07:00:07
Rome,5.84,5.06,8.25,few clouds,93,1.54,2025-02-21 07:00:07
Milan,1.05,-0.18,2.21,fog,91,0.51,2025-02-21 07:00:07
Bologna,1.54,0.85,2.72,clear sky,85,3.09,2025-02-21 07:00:07
Florence,3.73,2.42,5.67,clear sky,91,0.51,2025-02-21 07:00:07
Genova,5.96,4.49,7.37,broken clouds,74,1.34,2025-02-21 07:00:07
Turin,-3.07,-3.55,-0.16,broken clouds,81,1.97,2025-02-21 07:00:07
Palermo,9.21,9.21,9.21,broken clouds,94,1.71,2025-02-21 07:15:02
Catania,11.21,9.85,12.49,mist,90,2.06,2025-02-21 07:15:02
Cagliari,11.87,10.88,13.28,scattered clouds,83,2.06,2025-02-21 07:15:02
Sassari,7.88,7.88,7.88,clear sky,92,2.45,2025-02-21 07:15:02
Bari,6.69,6.19,7.32,broken clouds,85,4.12,2025-02-21 07:15:02
Lecce,6.03,6.03,6.03,broken clouds,85,1.99,2025-02-21 07:15:02
Naples,6.05,5.69,7.0,clear sky,79,1.54,2025-02-21 07:15:02
Rome,5.83,5.06,7.7,few clouds,100,1.54,2025-02-21 07:15:02
Milan,1.05,-0.18,2.21,fog,90,0.51,2025-02-21 07:15:02
Bologna,1.54,0.85,2.72,clear sky,86,2.57,2025-02-21 07:15:02
Florence,3.43,2.42,5.67,fog,94,0.51,2025-02-21 07:15:02
Genova,5.94,4.24,7.37,broken clouds,74,0.45,2025-02-21 07:15:02
Turin,-3.07,-3.55,-0.16,broken clouds,81,1.97,2025-02-21 07:15:02
Palermo,9.21,9.21,9.21,broken clouds,94,1.71,2025-02-21 07:30:02
Catania,10.84,9.85,11.85,mist,92,2.06,2025-02-21 07:30:02
Cagliari,12.02,10.88,13.28,scattered clouds,83,2.06,2025-02-21 07:30:02
Sassari,7.88,7.88,11.04,clear sky,92,2.45,2025-02-21 07:30:02
Bari,6.99,6.19,7.71,broken clouds,84,4.12,2025-02-21 07:30:02
Lecce,4.94,4.94,6.59,scattered clouds,93,1.54,2025-02-21 07:30:02
Naples,6.2,5.62,6.34,clear sky,78,1.54,2025-02-21 07:30:02
Rome,5.97,5.06,8.25,clear sky,100,1.54,2025-02-21 07:30:02
Milan,1.08,-0.18,2.21,fog,92,0.51,2025-02-21 07:30:02
Bologna,1.37,0.59,2.72,clear sky,86,2.57,2025-02-21 07:30:02
Florence,3.43,2.42,5.67,fog,93,0.51,2025-02-21 07:30:02
Genova,6.09,4.49,7.37,broken clouds,74,0.45,2025-02-21 07:30:02
Turin,-3.07,-3.55,0.4,broken clouds,81,1.97,2025-02-21 07:30:02
Palermo,9.21,9.21,9.21,broken clouds,94,1.42,2025-02-21 07:45:02
Catania,10.85,9.85,11.85,light intensity drizzle,95,1.03,2025-02-21 07:45:02
Cagliari,12.02,10.88,13.28,scattered clouds,83,1.03,2025-02-21 07:45:02
Sassari,6.88,6.88,10.49,clear sky,90,2.29,2025-02-21 07:45:02
Bari,7.15,6.3,7.71,broken clouds,82,2.57,2025-02-21 07:45:02
