City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,6.99,6.99,6.99,broken clouds,87,2.07,2025-01-21 07:38:56
Catania,8.15,6.88,9.62,clear sky,88,4.12,2025-01-21 07:38:56
Cagliari,9.23,7.05,9.39,fog,80,1.54,2025-01-21 07:38:56
Sassari,6.88,6.88,6.88,few clouds,93,3.29,2025-01-21 07:38:56
Bari,8.7,8.19,10.7,clear sky,92,2.06,2025-01-21 07:38:56
Lecce,9.94,9.94,9.94,scattered clouds,93,1.54,2025-01-21 07:38:56
Naples,9.64,7.9,10.13,moderate rain,88,1.54,2025-01-21 07:38:56
Rome,7.66,6.89,9.92,scattered clouds,97,1.54,2025-01-21 07:38:56
Milan,5.81,4.69,6.68,mist,95,2.06,2025-01-21 07:38:56
Bologna,6.13,5.7,6.14,mist,95,3.09,2025-01-21 07:38:56
Florence,7.76,7.42,8.79,broken clouds,92,1.03,2025-01-21 07:38:56
Genova,3.21,2.37,4.98,overcast clouds,89,3.13,2025-01-21 07:38:56
Turin,0.55,0.07,2.27,overcast clouds,95,2.71,2025-01-21 07:38:56
Palermo,7.54,7.54,7.54,overcast clouds,87,2.17,2025-01-21 07:45:04
Catania,8.52,6.88,9.71,clear sky,87,4.12,2025-01-21 07:45:04
Cagliari,9.23,7.05,9.39,fog,80,1.03,2025-01-21 07:45:04
Sassari,6.88,6.88,6.88,few clouds,93,3.29,2025-01-21 07:45:04
Bari,8.7,8.19,10.7,clear sky,92,2.06,2025-01-21 07:45:04
Lecce,9.94,9.94,9.94,scattered clouds,93,1.54,2025-01-21 07:45:04
Naples,9.78,7.9,10.97,moderate rain,88,1.54,2025-01-21 07:45:04
Rome,7.66,6.89,9.92,scattered clouds,97,1.54,2025-01-21 07:45:04
Milan,5.65,4.25,6.19,mist,94,2.06,2025-01-21 07:45:04
Bologna,6.13,5.7,6.14,mist,95,3.09,2025-01-21 07:45:04
Florence,7.62,6.86,9.0,broken clouds,92,1.03,2025-01-21 07:45:04
Genova,3.21,2.37,4.98,overcast clouds,89,2.24,2025-01-21 07:45:04
Turin,0.55,0.07,2.27,overcast clouds,95,2.71,2025-01-21 07:45:04
Palermo,7.54,7.54,7.54,overcast clouds,85,2.17,2025-01-21 07:55:32
Catania,8.33,6.88,9.71,clear sky,89,4.12,2025-01-21 07:55:32
Cagliari,9.23,7.05,9.39,fog,80,1.03,2025-01-21 07:55:32
Sassari,6.88,6.88,6.88,few clouds,93,3.29,2025-01-21 07:55:32
Bari,8.44,7.97,9.59,clear sky,88,2.06,2025-01-21 07:55:32
Lecce,9.94,9.94,9.94,scattered clouds,93,1.54,2025-01-21 07:55:32
Naples,9.78,7.9,10.13,moderate rain,88,1.54,2025-01-21 07:55:32
Rome,7.65,6.89,9.92,scattered clouds,97,1.54,2025-01-21 07:55:32
Milan,5.65,4.25,6.19,mist,94,2.06,2025-01-21 07:55:32
Bologna,6.13,5.7,6.14,mist,95,3.09,2025-01-21 07:55:32
Florence,7.62,7.09,8.79,broken clouds,92,1.03,2025-01-21 07:55:32
Genova,3.13,2.37,4.59,overcast clouds,89,2.24,2025-01-21 07:55:32
Turin,0.64,0.07,2.27,overcast clouds,95,2.71,2025-01-21 07:55:32
