City,Temperature_C°,Temperature_Max_C°,Weather_description,Humidity_%,Wind_speed_m/s,Time
Cagliari,6.65,7.73,scattered clouds,70,3.6,2025-01-15 10:15:02
Palermo,10.32,10.32,overcast clouds,81,1.25,2025-01-15 10:15:02
Naples,8.58,9.3,clear sky,58,2.57,2025-01-15 10:15:02
Milan,-0.44,0.08,clear sky,85,2.06,2025-01-15 10:30:02
Bologna,3.49,4.47,broken clouds,59,0.89,2025-01-15 10:30:02
Cagliari,7.1,8.28,scattered clouds,71,3.6,2025-01-15 10:30:02
Palermo,10.32,10.32,overcast clouds,80,1.25,2025-01-15 10:30:02
Naples,8.73,9.3,clear sky,58,2.57,2025-01-15 10:30:02
Milan,4.43,4.43,scattered clouds,45,1.37,2025-01-15 10:45:02
Bologna,3.83,4.47,broken clouds,57,0.45,2025-01-15 10:45:02
Cagliari,7.73,8.82,scattered clouds,68,3.6,2025-01-15 10:45:02
Palermo,10.32,11.0,overcast clouds,80,1.03,2025-01-15 10:45:02
Naples,9.32,9.58,clear sky,56,2.57,2025-01-15 10:45:02
Milan,1.76,4.43,scattered clouds,45,1.37,2025-01-15 11:00:02
Bologna,4.07,4.47,broken clouds,56,0.45,2025-01-15 11:00:02
Cagliari,8.03,9.37,scattered clouds,68,3.6,2025-01-15 11:00:02
Palermo,10.87,11.56,overcast clouds,77,1.03,2025-01-15 11:00:02
Naples,9.65,10.13,clear sky,55,2.57,2025-01-15 11:00:02
