City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,10.32,10.32,11.0,overcast clouds,92,1.94,2025-04-07 10:05:10
Catania,13.3,11.85,13.88,broken clouds,73,4.63,2025-04-07 10:05:10
Cagliari,17.73,17.73,18.26,clear sky,56,1.34,2025-04-07 10:05:10
Sassari,13.88,13.88,13.88,clear sky,63,1.69,2025-04-07 10:05:10
Bari,9.47,9.19,9.63,scattered clouds,48,5.81,2025-04-07 10:05:10
Lecce,10.48,10.48,10.48,broken clouds,52,7.08,2025-04-07 10:05:10
Naples,10.49,9.9,11.18,clear sky,49,9.26,2025-04-07 10:05:10
Rome,12.8,11.18,13.93,clear sky,38,1.96,2025-04-07 10:05:10
Milan,9.95,9.53,11.32,broken clouds,65,3.6,2025-04-07 10:05:10
Bologna,9.17,8.85,10.14,clear sky,58,4.02,2025-04-07 10:05:10
Florence,11.72,10.94,12.34,clear sky,43,3.6,2025-04-07 10:05:10
Genova,8.91,6.83,9.73,overcast clouds,65,2.68,2025-04-07 10:05:10
Turin,6.73,5.96,8.26,broken clouds,55,1.68,2025-04-07 10:05:10
Palermo,10.32,10.32,11.56,overcast clouds,92,1.94,2025-04-07 10:15:06
Catania,13.4,11.85,13.88,broken clouds,73,4.63,2025-04-07 10:15:06
Cagliari,17.73,17.73,18.26,clear sky,56,1.34,2025-04-07 10:15:06
Sassari,14.88,14.88,14.88,clear sky,63,1.69,2025-04-07 10:15:06
Bari,9.47,9.19,9.63,scattered clouds,48,5.81,2025-04-07 10:15:06
Lecce,10.48,10.48,10.48,broken clouds,52,7.08,2025-04-07 10:15:06
Naples,10.48,10.13,11.18,clear sky,48,9.26,2025-04-07 10:15:06
Rome,12.84,11.06,14.49,clear sky,39,3.09,2025-04-07 10:15:06
Milan,9.84,9.37,11.64,broken clouds,67,4.63,2025-04-07 10:15:06
Bologna,9.2,8.85,10.7,clear sky,57,6.17,2025-04-07 10:15:06
Florence,11.77,10.94,12.97,clear sky,42,3.6,2025-04-07 10:15:06
Genova,8.89,7.47,9.73,overcast clouds,65,2.68,2025-04-07 10:15:06
Turin,6.86,6.28,8.26,broken clouds,55,1.68,2025-04-07 10:15:06
Palermo,10.87,10.87,12.67,overcast clouds,92,1.94,2025-04-07 10:30:04
Catania,13.3,11.85,13.88,broken clouds,75,4.63,2025-04-07 10:30:04
Cagliari,18.43,15.05,18.82,few clouds,58,1.79,2025-04-07 10:30:04
Sassari,14.88,14.88,14.88,clear sky,63,1.69,2025-04-07 10:30:04
Bari,9.48,9.19,10.7,scattered clouds,46,7.6,2025-04-07 10:30:04
Lecce,11.94,10.48,11.94,scattered clouds,47,7.2,2025-04-07 10:30:04
Naples,11.01,10.34,11.73,clear sky,47,9.26,2025-04-07 10:30:04
Rome,13.14,11.4,14.74,clear sky,35,4.63,2025-04-07 10:30:04
Milan,9.97,9.81,11.66,broken clouds,67,4.63,2025-04-07 10:30:04
Bologna,9.75,8.85,11.25,clear sky,56,6.17,2025-04-07 10:30:04
Florence,12.41,11.5,13.18,clear sky,40,3.6,2025-04-07 10:30:04
Genova,8.58,6.83,9.59,overcast clouds,64,2.68,2025-04-07 10:30:04
Turin,7.18,6.35,7.96,broken clouds,52,1.54,2025-04-07 10:30:04
Palermo,11.99,11.99,12.11,overcast clouds,91,2.68,2025-04-07 10:45:04
Catania,12.67,12.49,13.0,broken clouds,73,6.17,2025-04-07 10:45:04
Cagliari,17.46,16.88,18.82,clear sky,64,1.79,2025-04-07 10:45:04
Sassari,16.88,16.88,16.88,clear sky,57,1.44,2025-04-07 10:45:04
Bari,10.11,9.93,10.59,scattered clouds,48,7.15,2025-04-07 10:45:04
Lecce,11.94,10.48,11.94,scattered clouds,47,7.2,2025-04-07 10:45:04
Naples,11.41,10.9,11.73,clear sky,47,8.23,2025-04-07 10:45:04
Rome,13.64,11.91,15.05,clear sky,33,3.6,2025-04-07 10:45:04
Milan,10.54,9.82,11.91,broken clouds,65,4.63,2025-04-07 10:45:04
Bologna,10.06,9.85,11.04,clear sky,54,5.66,2025-04-07 10:45:04
Florence,12.79,12.05,13.45,clear sky,40,2.57,2025-04-07 10:45:04
Genova,9.7,7.38,10.79,overcast clouds,62,1.34,2025-04-07 10:45:04
Turin,7.66,6.35,8.81,broken clouds,52,1.54,2025-04-07 10:45:04
Palermo,11.99,11.99,12.67,overcast clouds,87,2.68,2025-04-07 11:00:04
Catania,12.67,12.49,13.0,broken clouds,73,6.17,2025-04-07 11:00:04
Cagliari,17.92,16.88,19.39,clear sky,62,1.34,2025-04-07 11:00:04
Sassari,16.88,16.88,16.88,clear sky,57,1.44,2025-04-07 11:00:04
Bari,9.92,9.37,10.7,scattered clouds,52,9.39,2025-04-07 11:00:04
Lecce,11.94,10.48,11.94,scattered clouds,47,7.2,2025-04-07 11:00:04
Naples,11.74,10.9,12.29,clear sky,45,8.23,2025-04-07 11:00:04
Rome,13.87,12.47,15.48,clear sky,35,2.16,2025-04-07 11:00:04
Milan,10.84,10.57,12.21,broken clouds,69,4.02,2025-04-07 11:00:04
Bologna,10.32,9.85,11.6,clear sky,52,5.66,2025-04-07 11:00:04
Florence,13.01,12.52,14.08,clear sky,40,2.57,2025-04-07 11:00:04
Genova,10.1,7.94,10.84,overcast clouds,61,2.68,2025-04-07 11:00:04
Turin,8.0,6.45,9.07,broken clouds,53,2.05,2025-04-07 11:00:04
Palermo,11.99,11.99,13.22,overcast clouds,85,2.68,2025-04-07 11:15:03
Catania,12.66,10.73,12.88,broken clouds,73,5.14,2025-04-07 11:15:03
Cagliari,18.5,17.88,19.39,clear sky,57,2.57,2025-04-07 11:15:03
Sassari,17.88,17.88,17.88,clear sky,57,1.44,2025-04-07 11:15:03
Bari,9.63,9.37,10.7,scattered clouds,50,8.05,2025-04-07 11:15:03
Lecce,10.48,10.48,10.48,broken clouds,52,7.17,2025-04-07 11:15:03
Naples,11.73,10.97,12.29,clear sky,44,9.26,2025-04-07 11:15:03
Rome,13.93,12.47,15.3,clear sky,38,3.09,2025-04-07 11:15:03
Milan,11.11,10.64,11.87,scattered clouds,64,3.6,2025-04-07 11:15:03
Bologna,10.56,10.02,11.81,clear sky,52,6.17,2025-04-07 11:15:03
Florence,13.01,12.52,13.94,clear sky,40,2.06,2025-04-07 11:15:03
Genova,10.53,8.2,11.4,overcast clouds,58,3.13,2025-04-07 11:15:03
Turin,8.57,7.39,9.37,broken clouds,54,2.05,2025-04-07 11:15:03
Palermo,12.54,12.54,12.67,overcast clouds,81,2.68,2025-04-07 11:30:07
Catania,12.94,11.42,13.04,broken clouds,74,5.14,2025-04-07 11:30:07
Cagliari,18.75,17.88,19.95,clear sky,58,2.57,2025-04-07 11:30:07
Sassari,17.88,17.88,17.88,clear sky,57,1.44,2025-04-07 11:30:07
Bari,9.63,9.37,10.7,scattered clouds,49,5.66,2025-04-07 11:30:07
Lecce,11.94,10.48,11.94,scattered clouds,43,7.72,2025-04-07 11:30:07
Naples,11.92,10.97,12.36,clear sky,43,9.26,2025-04-07 11:30:07
Rome,14.16,13.02,15.6,clear sky,36,3.6,2025-04-07 11:30:07
Milan,11.11,10.64,11.87,scattered clouds,64,3.6,2025-04-07 11:30:07
Bologna,10.86,10.58,11.81,clear sky,51,6.17,2025-04-07 11:30:07
Florence,13.04,12.52,14.64,clear sky,40,2.06,2025-04-07 11:30:07
Genova,10.09,8.68,11.26,broken clouds,55,2.57,2025-04-07 11:30:07
Turin,8.33,7.35,9.37,clear sky,51,0.51,2025-04-07 11:30:07
Palermo,11.99,11.99,13.78,broken clouds,80,3.14,2025-04-07 11:45:03
Catania,12.81,11.29,13.04,broken clouds,75,5.14,2025-04-07 11:45:03
Cagliari,18.84,17.88,19.95,clear sky,60,2.24,2025-04-07 11:45:03
Sassari,18.88,18.88,18.88,clear sky,54,2.57,2025-04-07 11:45:03
Bari,9.58,9.37,10.19,scattered clouds,52,6.71,2025-04-07 11:45:03
Lecce,11.94,10.48,11.94,scattered clouds,43,7.72,2025-04-07 11:45:03
Naples,12.47,11.53,12.84,clear sky,42,7.72,2025-04-07 11:45:03
Rome,14.26,13.25,15.6,clear sky,36,3.6,2025-04-07 11:45:03
Milan,11.9,11.55,13.02,clear sky,62,4.02,2025-04-07 11:45:03
Bologna,11.16,11.13,12.36,clear sky,49,6.17,2025-04-07 11:45:03
Florence,14.05,13.08,15.05,clear sky,40,1.03,2025-04-07 11:45:03
Genova,11.06,9.31,12.2,broken clouds,55,2.06,2025-04-07 11:45:03
Turin,8.99,7.45,9.92,broken clouds,54,2.21,2025-04-07 11:45:03
Palermo,11.99,11.99,13.22,broken clouds,80,3.14,2025-04-07 12:00:06
Catania,12.81,11.29,13.04,broken clouds,74,5.14,2025-04-07 12:00:06
Cagliari,18.84,17.88,19.95,clear sky,60,2.68,2025-04-07 12:00:06
Sassari,18.88,18.88,18.88,clear sky,54,2.57,2025-04-07 12:00:06
Bari,9.49,8.82,11.25,scattered clouds,51,7.15,2025-04-07 12:00:06
Lecce,11.94,11.03,11.94,scattered clouds,43,7.72,2025-04-07 12:00:06
Naples,12.62,11.9,13.4,clear sky,42,7.72,2025-04-07 12:00:06
Rome,14.6,13.58,16.96,clear sky,34,2.57,2025-04-07 12:00:06
Milan,11.95,11.68,13.02,clear sky,62,3.13,2025-04-07 12:00:06
Bologna,11.7,11.6,12.36,clear sky,49,6.17,2025-04-07 12:00:06
Florence,14.36,13.08,15.03,clear sky,39,1.79,2025-04-07 12:00:06
Genova,11.09,9.05,12.25,broken clouds,52,4.02,2025-04-07 12:00:06
Turin,9.6,8.94,10.07,broken clouds,54,2.21,2025-04-07 12:00:06
Palermo,12.54,12.54,13.22,broken clouds,77,3.14,2025-04-07 12:15:03
Catania,13.34,11.29,13.88,broken clouds,73,6.17,2025-04-07 12:15:03
Cagliari,18.86,18.82,18.88,clear sky,55,3.58,2025-04-07 12:15:03
Sassari,18.88,18.82,18.88,clear sky,54,2.57,2025-04-07 12:15:03
Bari,9.92,9.37,10.7,scattered clouds,48,8.94,2025-04-07 12:15:03
Lecce,10.48,10.48,10.48,broken clouds,48,8.74,2025-04-07 12:15:03
Naples,13.21,12.08,13.4,clear sky,42,5.66,2025-04-07 12:15:03
Rome,15.08,13.81,16.96,clear sky,33,2.57,2025-04-07 12:15:03
Milan,12.07,11.75,13.02,clear sky,60,4.12,2025-04-07 12:15:03
Bologna,11.72,11.69,12.36,clear sky,47,5.14,2025-04-07 12:15:03
Florence,14.73,14.19,15.19,clear sky,38,1.03,2025-04-07 12:15:03
Genova,11.37,9.31,12.27,broken clouds,52,2.06,2025-04-07 12:15:03
Turin,9.8,8.45,10.62,broken clouds,47,2.21,2025-04-07 12:15:03
Palermo,12.54,12.54,13.22,broken clouds,77,3.14,2025-04-07 12:30:02
Catania,13.28,11.85,14.0,broken clouds,74,6.17,2025-04-07 12:30:02
Cagliari,18.86,18.26,18.88,clear sky,58,3.58,2025-04-07 12:30:02
Sassari,18.88,18.88,20.49,clear sky,54,2.57,2025-04-07 12:30:02
Bari,9.89,9.37,10.19,scattered clouds,46,8.49,2025-04-07 12:30:02
Lecce,12.94,11.03,12.94,scattered clouds,41,8.23,2025-04-07 12:30:02
Naples,13.21,12.08,14.22,clear sky,41,5.66,2025-04-07 12:30:02
Rome,16.01,14.4,17.28,clear sky,30,2.57,2025-04-07 12:30:02
Milan,12.34,11.82,13.14,clear sky,58,4.12,2025-04-07 12:30:02
Bologna,11.72,11.69,12.92,clear sky,48,5.14,2025-04-07 12:30:02
Florence,15.09,14.19,16.14,clear sky,37,2.24,2025-04-07 12:30:02
Genova,11.78,10.76,12.51,broken clouds,51,2.57,2025-04-07 12:30:02
Turin,9.9,8.45,10.62,clear sky,42,1.54,2025-04-07 12:30:02
Palermo,13.1,13.1,14.34,broken clouds,74,3.31,2025-04-07 12:45:02
Catania,13.28,11.85,14.0,broken clouds,71,4.63,2025-04-07 12:45:02
Cagliari,19.21,17.71,19.88,few clouds,57,4.63,2025-04-07 12:45:02
Sassari,18.88,18.88,19.93,clear sky,56,3.45,2025-04-07 12:45:02
Bari,9.89,9.37,10.19,scattered clouds,47,8.94,2025-04-07 12:45:02
Lecce,12.94,10.48,12.94,scattered clouds,41,8.23,2025-04-07 12:45:02
Naples,13.4,12.64,13.47,clear sky,42,7.2,2025-04-07 12:45:02
Rome,16.14,14.96,16.96,clear sky,29,3.6,2025-04-07 12:45:02
Milan,12.52,11.82,13.7,clear sky,57,4.63,2025-04-07 12:45:02
Bologna,12.24,11.85,12.25,clear sky,47,5.14,2025-04-07 12:45:02
Florence,15.97,14.83,16.86,clear sky,35,2.68,2025-04-07 12:45:02
Genova,12.07,9.76,13.32,broken clouds,52,2.57,2025-04-07 12:45:02
Turin,10.13,8.7,11.18,clear sky,42,1.54,2025-04-07 12:45:02
Palermo,13.65,13.65,14.34,broken clouds,73,3.31,2025-04-07 13:00:02
Catania,13.3,11.85,14.0,broken clouds,71,4.63,2025-04-07 13:00:02
Cagliari,19.21,17.71,19.88,few clouds,57,4.63,2025-04-07 13:00:02
Sassari,18.88,18.88,20.49,clear sky,56,3.45,2025-04-07 13:00:02
Bari,9.75,9.37,10.19,scattered clouds,50,7.6,2025-04-07 13:00:02
Lecce,12.94,10.48,12.94,scattered clouds,41,8.23,2025-04-07 13:00:02
Naples,13.54,12.64,13.95,clear sky,41,7.2,2025-04-07 13:00:02
Rome,16.11,14.96,17.52,clear sky,32,3.6,2025-04-07 13:00:02
Milan,12.47,11.75,13.97,clear sky,56,4.63,2025-04-07 13:00:02
Bologna,12.24,11.85,12.25,clear sky,46,5.14,2025-04-07 13:00:02
Florence,16.03,14.74,17.42,clear sky,36,4.02,2025-04-07 13:00:02
Genova,11.87,9.76,13.01,broken clouds,53,2.57,2025-04-07 13:00:02
Turin,10.6,9.91,11.18,broken clouds,50,2.32,2025-04-07 13:00:02
Palermo,13.65,13.65,14.34,broken clouds,72,3.31,2025-04-07 13:15:02
Catania,12.97,11.85,13.04,broken clouds,68,4.12,2025-04-07 13:15:02
Cagliari,18.04,17.15,18.28,few clouds,63,7.72,2025-04-07 13:15:02
Sassari,17.88,17.88,21.04,clear sky,56,3.45,2025-04-07 13:15:02
Bari,9.47,8.82,10.7,scattered clouds,51,8.94,2025-04-07 13:15:02
Lecce,11.03,11.03,11.03,broken clouds,51,8.87,2025-04-07 13:15:02
Naples,13.95,12.64,14.77,clear sky,41,8.75,2025-04-07 13:15:02
Rome,15.85,14.96,17.52,clear sky,35,3.6,2025-04-07 13:15:02
Milan,12.97,12.31,14.25,clear sky,54,4.63,2025-04-07 13:15:02
Bologna,12.51,12.24,13.47,clear sky,46,4.63,2025-04-07 13:15:02
Florence,16.4,14.74,17.42,clear sky,34,1.54,2025-04-07 13:15:02
Genova,11.49,10.76,12.46,broken clouds,57,1.79,2025-04-07 13:15:02
Turin,10.56,9.26,11.59,broken clouds,50,2.32,2025-04-07 13:15:02
Palermo,14.21,14.21,14.34,broken clouds,70,3.31,2025-04-07 13:30:03
Catania,12.88,11.85,13.04,broken clouds,69,4.12,2025-04-07 13:30:03
Cagliari,18.04,17.15,18.28,few clouds,63,7.72,2025-04-07 13:30:03
Sassari,17.88,17.88,21.04,clear sky,56,3.45,2025-04-07 13:30:03
Bari,9.25,8.82,10.19,scattered clouds,52,8.49,2025-04-07 13:30:03
Lecce,11.94,10.48,11.94,scattered clouds,40,7.2,2025-04-07 13:30:03
Naples,13.95,13.19,14.34,clear sky,40,8.75,2025-04-07 13:30:03
Rome,16.37,15.07,18.08,clear sky,32,3.6,2025-04-07 13:30:03
Milan,13.05,12.3,14.25,clear sky,53,4.63,2025-04-07 13:30:03
Bologna,12.5,12.24,12.92,clear sky,46,4.63,2025-04-07 13:30:03
Florence,16.39,14.9,17.28,clear sky,34,3.13,2025-04-07 13:30:03
Genova,12.06,10.76,12.83,broken clouds,53,3.09,2025-04-07 13:30:03
Turin,10.34,9.35,12.15,clear sky,45,2.57,2025-04-07 13:30:03
Palermo,14.21,14.21,14.34,broken clouds,70,3.68,2025-04-07 13:45:02
