City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,6.99,6.99,6.99,scattered clouds,90,1.43,2025-02-27 08:25:31
Catania,10.32,9.29,11.29,few clouds,71,7.2,2025-02-27 08:25:31
Cagliari,10.74,9.88,12.05,few clouds,66,3.6,2025-02-27 08:25:31
Sassari,10.88,10.88,11.04,clear sky,79,2.43,2025-02-27 08:25:31
Bari,11.06,10.19,11.3,scattered clouds,79,1.03,2025-02-27 08:25:31
Lecce,12.94,12.94,13.25,broken clouds,88,6.69,2025-02-27 08:25:31
Naples,8.77,8.34,9.77,scattered clouds,86,1.03,2025-02-27 08:25:31
Rome,7.47,6.91,9.67,clear sky,88,1.03,2025-02-27 08:25:31
Milan,4.9,3.82,6.66,fog,94,1.03,2025-02-27 08:25:31
Bologna,8.79,7.92,8.92,broken clouds,88,2.06,2025-02-27 08:25:31
Florence,9.48,8.92,10.11,broken clouds,76,1.03,2025-02-27 08:25:31
Genova,5.4,4.6,7.25,clear sky,68,2.04,2025-02-27 08:25:31
Turin,-0.36,-1.49,2.62,clear sky,79,2.88,2025-02-27 08:25:31
Palermo,6.99,6.99,6.99,scattered clouds,90,1.43,2025-02-27 08:30:07
Catania,10.32,9.29,11.29,few clouds,71,7.2,2025-02-27 08:30:07
Cagliari,10.74,9.88,12.05,few clouds,66,3.6,2025-02-27 08:30:07
Sassari,10.88,10.88,11.04,clear sky,68,4.55,2025-02-27 08:30:07
Bari,11.06,10.19,11.3,scattered clouds,79,1.03,2025-02-27 08:30:07
Lecce,12.94,12.94,13.25,broken clouds,88,6.69,2025-02-27 08:30:07
Naples,8.77,8.34,9.77,scattered clouds,86,1.03,2025-02-27 08:30:07
Rome,7.47,6.91,9.67,clear sky,88,1.03,2025-02-27 08:30:07
Milan,4.9,3.82,6.66,fog,94,1.03,2025-02-27 08:30:07
Bologna,8.79,7.92,8.92,broken clouds,88,2.06,2025-02-27 08:30:07
Florence,9.48,8.92,10.11,broken clouds,76,1.03,2025-02-27 08:30:07
Genova,5.4,4.6,7.25,clear sky,68,2.04,2025-02-27 08:30:07
Turin,-0.66,-1.04,2.62,clear sky,68,2.88,2025-02-27 08:30:07
Palermo,7.54,7.54,7.54,few clouds,89,1.78,2025-02-27 08:45:03
Catania,10.83,9.85,11.85,few clouds,71,6.69,2025-02-27 08:45:03
Cagliari,11.73,11.6,12.05,few clouds,64,3.09,2025-02-27 08:45:03
Sassari,10.88,10.88,11.6,clear sky,68,4.55,2025-02-27 08:45:03
Bari,11.17,10.59,11.3,scattered clouds,76,1.54,2025-02-27 08:45:03
Lecce,12.94,12.94,13.25,broken clouds,88,6.69,2025-02-27 08:45:03
Naples,9.65,9.34,10.33,scattered clouds,83,2.06,2025-02-27 08:45:03
Rome,8.16,7.74,10.78,clear sky,88,1.54,2025-02-27 08:45:03
Milan,6.73,5.37,7.79,light rain,97,0.63,2025-02-27 08:45:03
Bologna,8.98,7.92,9.46,broken clouds,89,2.06,2025-02-27 08:45:03
Florence,9.12,8.82,10.67,scattered clouds,78,1.54,2025-02-27 08:45:03
Genova,6.16,5.15,8.07,clear sky,71,1.49,2025-02-27 08:45:03
Turin,1.59,0.37,4.92,clear sky,43,0.45,2025-02-27 08:45:03
Palermo,7.54,7.54,7.54,few clouds,89,1.78,2025-02-27 09:00:09
Catania,11.15,10.0,12.4,few clouds,70,6.69,2025-02-27 09:00:09
Cagliari,12.03,11.88,12.17,few clouds,63,3.09,2025-02-27 09:00:09
Sassari,10.88,10.88,12.15,clear sky,68,4.55,2025-02-27 09:00:09
Bari,11.17,10.59,11.3,scattered clouds,76,1.54,2025-02-27 09:00:09
Lecce,12.94,12.7,12.94,broken clouds,88,6.69,2025-02-27 09:00:09
Naples,9.78,9.34,11.44,scattered clouds,83,2.06,2025-02-27 09:00:09
Rome,8.28,7.74,10.78,clear sky,89,1.54,2025-02-27 09:00:09
Milan,6.76,5.37,7.98,light rain,97,0.45,2025-02-27 09:00:09
Bologna,9.39,8.85,9.47,broken clouds,87,2.06,2025-02-27 09:00:09
Florence,9.23,8.74,10.67,scattered clouds,80,1.54,2025-02-27 09:00:09
Genova,6.89,4.24,8.07,clear sky,70,1.49,2025-02-27 09:00:09
Turin,2.4,0.37,6.04,clear sky,72,0.45,2025-02-27 09:00:09
Palermo,8.65,8.65,8.65,few clouds,87,1.78,2025-02-27 09:15:10
Catania,11.51,10.82,14.07,clear sky,65,7.2,2025-02-27 09:15:10
Cagliari,12.23,11.88,12.73,few clouds,61,3.6,2025-02-27 09:15:10
Sassari,11.88,11.88,13.82,clear sky,68,4.55,2025-02-27 09:15:10
Bari,11.36,10.59,11.6,light rain,77,2.06,2025-02-27 09:15:10
Lecce,12.7,12.7,12.7,overcast clouds,89,8.67,2025-02-27 09:15:10
Naples,10.2,10.06,11.44,few clouds,81,2.06,2025-02-27 09:15:10
Rome,8.97,8.06,10.78,clear sky,88,3.09,2025-02-27 09:15:10
Milan,6.99,5.49,8.54,light rain,97,0.45,2025-02-27 09:15:10
Bologna,9.39,8.85,9.78,light rain,87,1.54,2025-02-27 09:15:10
Florence,9.24,8.74,11.22,broken clouds,78,2.57,2025-02-27 09:15:10
Genova,6.35,5.05,8.36,clear sky,84,1.79,2025-02-27 09:15:10
Turin,2.98,0.92,5.92,clear sky,61,0.45,2025-02-27 09:15:10
Palermo,8.65,8.65,8.65,few clouds,87,1.78,2025-02-27 09:30:03
Catania,11.91,10.82,14.07,clear sky,65,7.2,2025-02-27 09:30:03
Cagliari,12.56,11.88,13.28,few clouds,62,3.6,2025-02-27 09:30:03
Sassari,11.88,11.88,13.82,few clouds,63,5.43,2025-02-27 09:30:03
Bari,11.3,10.75,11.6,light rain,77,2.06,2025-02-27 09:30:03
Lecce,12.94,12.14,12.94,broken clouds,88,6.69,2025-02-27 09:30:03
Naples,10.53,10.34,11.44,few clouds,81,2.06,2025-02-27 09:30:03
Rome,8.35,7.83,11.34,few clouds,87,3.09,2025-02-27 09:30:03
Milan,7.04,5.44,9.09,fog,97,1.03,2025-02-27 09:30:03
Bologna,9.45,8.47,9.47,broken clouds,88,1.54,2025-02-27 09:30:03
Florence,9.41,8.82,11.22,broken clouds,78,2.57,2025-02-27 09:30:03
Genova,7.36,5.6,9.09,clear sky,83,1.79,2025-02-27 09:30:03
Turin,4.23,1.35,5.92,clear sky,55,1.03,2025-02-27 09:30:03
Palermo,8.1,8.1,8.1,scattered clouds,87,2.98,2025-02-27 09:45:09
Catania,12.47,11.52,14.07,few clouds,67,8.23,2025-02-27 09:45:09
Cagliari,13.77,13.05,13.88,few clouds,59,4.63,2025-02-27 09:45:09
Sassari,11.88,11.88,14.38,few clouds,63,5.43,2025-02-27 09:45:09
Bari,11.36,11.14,11.6,moderate rain,78,2.57,2025-02-27 09:45:09
Lecce,12.94,12.14,12.94,broken clouds,88,6.69,2025-02-27 09:45:09
Naples,11.04,10.34,11.8,few clouds,80,1.54,2025-02-27 09:45:09
Rome,8.72,7.83,11.72,few clouds,86,2.57,2025-02-27 09:45:09
Milan,8.82,6.82,10.01,fog,100,1.54,2025-02-27 09:45:09
Bologna,9.27,8.47,10.36,broken clouds,90,1.03,2025-02-27 09:45:09
Florence,10.37,9.82,11.78,scattered clouds,75,1.54,2025-02-27 09:45:09
Genova,9.12,7.94,10.05,clear sky,74,0.26,2025-02-27 09:45:09
Turin,5.37,2.45,6.51,clear sky,49,1.78,2025-02-27 09:45:09
Palermo,8.65,8.65,8.65,scattered clouds,88,2.98,2025-02-27 10:00:06
Catania,12.67,12.0,14.07,few clouds,66,8.23,2025-02-27 10:00:06
Cagliari,14.07,13.05,14.39,few clouds,58,4.63,2025-02-27 10:00:06
Sassari,11.88,11.88,14.93,few clouds,63,5.43,2025-02-27 10:00:06
Bari,11.04,10.75,11.21,moderate rain,80,2.57,2025-02-27 10:00:06
Lecce,12.94,12.14,12.94,broken clouds,88,6.69,2025-02-27 10:00:06
Naples,11.37,10.34,13.19,few clouds,79,1.54,2025-02-27 10:00:06
Rome,10.03,9.06,11.89,clear sky,84,2.57,2025-02-27 10:00:06
Milan,9.0,6.82,10.08,fog,100,1.54,2025-02-27 10:00:06
Bologna,9.46,8.85,9.47,light rain,89,1.03,2025-02-27 10:00:06
Florence,10.27,9.82,12.34,scattered clouds,75,1.54,2025-02-27 10:00:06
Genova,9.27,8.07,10.61,clear sky,76,0.26,2025-02-27 10:00:06
Turin,6.17,3.15,6.73,clear sky,47,1.78,2025-02-27 10:00:06
Palermo,9.21,9.21,9.21,scattered clouds,88,2.98,2025-02-27 10:15:09
Catania,13.23,12.07,14.07,few clouds,66,8.75,2025-02-27 10:15:09
Cagliari,14.09,13.82,14.39,few clouds,57,4.12,2025-02-27 10:15:09
Sassari,12.88,12.88,14.93,few clouds,63,5.43,2025-02-27 10:15:09
Bari,11.04,10.75,11.21,moderate rain,82,3.09,2025-02-27 10:15:09
Lecce,12.7,12.7,12.7,overcast clouds,89,10.29,2025-02-27 10:15:09
Naples,12.66,11.44,13.75,few clouds,71,1.54,2025-02-27 10:15:09
Rome,10.72,10.47,11.89,clear sky,79,2.57,2025-02-27 10:15:09
Milan,8.23,6.36,10.08,fog,95,1.54,2025-02-27 10:15:09
Bologna,9.48,8.85,9.93,light rain,88,1.03,2025-02-27 10:15:09
Florence,10.9,10.59,12.68,scattered clouds,72,1.54,2025-02-27 10:15:09
Genova,9.89,7.83,10.8,clear sky,72,0.45,2025-02-27 10:15:09
Turin,6.27,4.62,6.51,clear sky,60,1.78,2025-02-27 10:15:09
Palermo,9.76,9.76,9.76,scattered clouds,83,2.98,2025-02-27 10:30:04
Catania,13.69,12.63,14.62,few clouds,66,8.75,2025-02-27 10:30:04
Cagliari,14.15,13.05,14.39,few clouds,57,4.63,2025-02-27 10:30:04
Sassari,12.88,12.88,14.93,clear sky,62,5.76,2025-02-27 10:30:04
Bari,11.17,11.04,11.3,moderate rain,83,3.09,2025-02-27 10:30:04
Lecce,13.94,12.7,13.94,broken clouds,88,5.66,2025-02-27 10:30:04
Naples,12.98,12.34,13.47,few clouds,69,1.54,2025-02-27 10:30:04
Rome,10.85,9.84,13.0,clear sky,75,2.57,2025-02-27 10:30:04
Milan,7.98,6.36,11.1,fog,94,1.54,2025-02-27 10:30:04
Bologna,9.48,8.85,9.93,light rain,86,1.03,2025-02-27 10:30:04
